cachesize accp4 ARC Cacheus Clock FIFO FIFO-Merge GDSF Hyperbolic LHD LIRS LeCaR QDLP S3FIFO S4LRU WTinyLFU TwoQ accp4c accp4p
0.003 0.073 0.055 0.053 0.022 0.000 0.023 0.028 0.015 0.057 0.055 0.025 0.060 0.070 0.045 0.039 0.058 0.070 0.071
0.010 0.154 0.107 0.099 0.033 0.000 0.043 0.039 0.026 0.105 0.120 0.036 0.129 0.134 0.072 0.110 0.114 0.147 0.145
0.030 0.149 0.116 0.108 0.030 0.000 0.048 0.051 0.018 0.097 0.131 0.036 0.133 0.136 0.069 0.119 0.117 0.148 0.139
0.100 0.114 0.076 0.073 0.031 0.000 0.032 0.036 0.023 0.073 0.098 0.047 0.086 0.089 0.052 0.078 0.076 0.110 0.093
0.200 0.087 0.057 0.055 0.030 0.000 0.028 0.036 0.022 0.060 0.075 0.043 0.065 0.065 0.045 0.065 0.054 0.084 0.071
0.400 0.049 0.033 0.029 0.026 0.000 0.020 0.028 0.021 0.034 0.041 0.030 0.037 0.035 0.037 0.032 0.023 0.048 0.039
