benchmarks accp4 ARC Cacheus Clock FIFO FIFO-Merge GDSF Hyperbolic LHD LIRS LeCaR QDLP S3FIFO S4LRU WTinyLFU TwoQ accp4c accp4p
systor 0.149 0.122 0.122 0.108 0.000 0.047 0.110 0.045 0.058 0.120 0.115 0.133 0.129 0.099 0.074 0.121 0.151 0.129
metaCDN 0.044 0.045 0.038 0.024 0.000 0.022 0.033 0.020 -0.007 0.032 0.024 0.045 0.043 0.031 0.006 0.027 0.046 0.046
twitter 0.012 0.009 0.009 0.008 0.000 0.007 0.011 0.007 0.005 0.010 0.010 0.011 0.012 0.011 0.003 0.010 0.012 0.012
fiu 0.436 0.091 0.102 0.024 0.000 0.097 0.061 0.013 0.144 0.342 0.059 0.246 0.247 0.128 0.295 0.106 0.424 0.308
alibabaBlock 0.087 0.057 0.055 0.030 0.000 0.028 0.036 0.022 0.060 0.075 0.043 0.065 0.065 0.045 0.065 0.054 0.084 0.071
msr 0.569 0.257 0.193 0.022 0.000 0.267 0.059 0.108 0.371 0.483 0.019 0.166 0.139 0.453 0.472 0.143 0.561 0.500
tencentPhoto 0.022 0.023 0.026 0.022 0.000 0.023 0.029 0.023 -0.018 0.008 0.024 0.028 0.026 0.028 -0.056 0.005 0.026 0.026
tencentBlock 0.066 0.041 0.026 0.016 0.000 0.005 0.016 0.004 0.037 0.053 0.026 0.045 0.048 0.021 0.063 0.050 0.063 0.049
cloudphysics 0.254 0.126 0.109 0.043 0.000 0.067 0.067 0.048 0.144 0.208 0.048 0.147 0.132 0.168 0.201 0.096 0.247 0.196
metaKV 0.011 0.010 0.009 0.007 0.000 0.007 0.010 0.007 0.004 0.010 0.010 0.011 0.011 0.010 0.004 0.007 0.011 0.011
wikimedia 0.047 0.046 0.037 0.035 0.000 0.030 0.044 0.037 0.026 0.047 0.037 0.047 0.046 0.044 0.046 0.038 0.046 0.046
