benchmarks accp4 ARC Cacheus Clock FIFO FIFO-Merge GDSF Hyperbolic LHD LIRS LeCaR QDLP S3FIFO S4LRU WTinyLFU TwoQ accp4c accp4p
systor 0.292 0.250 0.182 0.107 0.000 0.105 0.157 0.107 0.117 0.271 0.089 0.214 0.222 0.193 0.225 0.224 0.287 0.213
metaCDN 0.054 0.043 0.037 0.024 0.000 0.021 0.036 0.022 -0.002 0.032 0.021 0.054 0.058 0.038 0.003 0.041 0.058 0.058
twitter 0.017 0.013 0.009 0.006 0.000 0.008 0.013 0.006 0.011 0.016 0.010 0.016 0.019 0.015 0.006 0.016 0.016 0.016
fiu 0.365 0.109 0.074 0.018 0.000 0.068 0.033 0.028 0.165 0.300 0.048 0.135 0.144 0.113 0.273 0.125 0.321 0.253
alibabaBlock 0.114 0.076 0.073 0.031 0.000 0.032 0.036 0.023 0.073 0.098 0.047 0.086 0.089 0.052 0.078 0.076 0.110 0.093
msr 0.407 0.254 0.197 0.015 0.000 0.093 0.046 0.014 0.199 0.324 0.028 0.247 0.157 0.307 0.317 0.106 0.399 0.381
tencentPhoto 0.045 0.036 0.037 0.035 0.000 0.039 0.049 0.039 -0.011 0.026 0.040 0.050 0.047 0.050 -0.075 0.018 0.049 0.049
tencentBlock 0.071 0.042 0.036 0.016 0.000 0.012 0.015 0.005 0.043 0.057 0.028 0.050 0.054 0.025 0.062 0.051 0.070 0.061
cloudphysics 0.308 0.162 0.186 0.043 0.000 0.095 0.107 0.079 0.189 0.253 0.052 0.221 0.211 0.213 0.237 0.160 0.304 0.253
metaKV 0.014 0.011 0.012 0.010 0.000 0.008 0.012 0.009 0.006 0.011 0.012 0.015 0.015 0.013 0.001 0.013 0.015 0.015
wikimedia 0.082 0.077 0.068 0.055 0.000 0.048 0.077 0.059 0.062 0.079 0.058 0.082 0.082 0.077 0.084 0.069 0.079 0.079
