cachesize accp4 ARC Cacheus Clock FIFO FIFO-Merge GDSF Hyperbolic LHD LIRS LeCaR QDLP S3FIFO S4LRU WTinyLFU TwoQ accp4c accp4p
0.003 0.051 0.036 0.034 0.029 0.000 0.027 0.037 0.028 0.059 0.011 0.037 0.053 0.059 0.047 -0.023 0.055 0.056 0.055
0.010 0.040 0.026 0.026 0.020 0.000 0.021 0.029 0.019 0.039 0.026 0.028 0.038 0.043 0.034 0.013 0.038 0.039 0.039
0.030 0.024 0.017 0.017 0.014 0.000 0.013 0.017 0.012 0.020 0.018 0.016 0.023 0.026 0.021 0.002 0.023 0.024 0.023
0.100 0.017 0.013 0.009 0.006 0.000 0.008 0.013 0.006 0.011 0.016 0.010 0.016 0.019 0.015 0.006 0.016 0.016 0.016
0.200 0.012 0.009 0.009 0.008 0.000 0.007 0.011 0.007 0.005 0.010 0.010 0.011 0.012 0.011 0.003 0.010 0.012 0.012
0.400 0.007 0.006 0.005 0.005 0.000 0.005 0.007 0.005 0.005 0.006 0.006 0.007 0.007 0.006 0.002 0.004 0.007 0.007
