cachesize accp4 ARC Cacheus Clock FIFO FIFO-Merge GDSF Hyperbolic LHD LIRS LeCaR QDLP S3FIFO S4LRU WTinyLFU TwoQ accp4c accp4p
0.003 0.046 0.044 0.035 0.022 0.000 0.020 0.043 0.021 0.052 0.014 0.018 0.048 0.053 0.040 -0.047 0.050 0.052 0.052
0.010 0.044 0.041 0.037 0.023 0.000 0.019 0.040 0.021 0.045 0.013 0.020 0.045 0.052 0.036 -0.016 0.049 0.049 0.049
0.030 0.043 0.037 0.036 0.021 0.000 0.017 0.037 0.020 0.017 0.014 0.019 0.045 0.053 0.036 -0.012 0.049 0.048 0.048
0.100 0.054 0.043 0.037 0.024 0.000 0.021 0.036 0.022 -0.002 0.032 0.021 0.054 0.058 0.038 0.003 0.041 0.058 0.058
0.200 0.044 0.045 0.038 0.024 0.000 0.022 0.033 0.020 -0.007 0.032 0.024 0.045 0.043 0.031 0.006 0.027 0.046 0.046
0.400 0.026 0.030 0.018 0.025 0.000 0.025 0.028 0.022 -0.009 0.021 0.026 0.030 0.024 0.025 0.005 0.008 0.027 0.027
