benchmarks accp4 ARC Cacheus Clock FIFO FIFO-Merge GDSF Hyperbolic LHD LIRS LeCaR QDLP S3FIFO S4LRU WTinyLFU TwoQ accp4c accp4p
systor 0.074 0.062 0.054 0.053 0.000 0.039 0.056 0.051 0.032 0.060 0.053 0.059 0.060 0.060 0.032 0.044 0.075 0.059
metaCDN 0.026 0.030 0.018 0.025 0.000 0.025 0.028 0.022 -0.009 0.021 0.026 0.030 0.024 0.025 0.005 0.008 0.027 0.027
twitter 0.007 0.006 0.005 0.005 0.000 0.005 0.007 0.005 0.005 0.006 0.006 0.007 0.007 0.006 0.002 0.004 0.007 0.007
fiu 0.409 0.025 0.144 0.031 0.000 0.149 0.062 0.064 0.150 0.308 0.055 0.216 0.204 0.205 0.288 0.153 0.405 0.245
alibabaBlock 0.049 0.033 0.029 0.026 0.000 0.020 0.028 0.021 0.034 0.041 0.030 0.037 0.035 0.037 0.032 0.023 0.048 0.039
msr 0.321 0.140 0.241 0.025 0.000 0.180 0.068 0.096 0.233 0.283 0.098 0.234 0.208 0.263 0.276 0.144 0.307 0.221
tencentPhoto 0.008 0.013 0.011 0.012 0.000 0.012 0.014 0.012 0.000 -0.001 0.012 0.013 0.013 0.012 -0.047 0.002 0.011 0.011
tencentBlock 0.043 0.024 0.023 0.012 0.000 0.003 0.012 -0.000 0.027 0.034 0.025 0.028 0.028 0.018 0.043 0.022 0.041 0.030
cloudphysics 0.239 0.081 0.078 0.037 0.000 0.100 0.059 0.056 0.141 0.196 0.040 0.125 0.116 0.154 0.185 0.070 0.233 0.173
metaKV 0.006 0.007 0.006 0.006 0.000 0.005 0.006 0.005 0.004 0.005 0.006 0.006 0.006 0.006 0.001 0.002 0.006 0.006
wikimedia 0.022 0.022 0.021 0.019 0.000 0.015 0.020 0.019 0.015 0.021 0.019 0.022 0.021 0.021 0.019 0.013 0.022 0.022
