cachesize accp4 ARC Cacheus Clock FIFO FIFO-Merge GDSF Hyperbolic LHD LIRS LeCaR QDLP S3FIFO S4LRU WTinyLFU TwoQ accp4c accp4p
0.003 0.228 0.135 0.159 0.101 0.000 0.110 0.167 0.119 0.223 0.124 0.080 0.243 0.254 0.227 -0.026 0.228 0.245 0.246
0.010 0.185 0.108 0.137 0.095 0.000 0.103 0.142 0.117 0.131 0.124 0.100 0.188 0.188 0.174 -0.045 0.156 0.189 0.189
0.030 0.107 0.069 0.088 0.068 0.000 0.075 0.095 0.076 0.043 0.075 0.077 0.111 0.106 0.106 -0.071 0.076 0.110 0.111
0.100 0.045 0.036 0.037 0.035 0.000 0.039 0.049 0.039 -0.011 0.026 0.040 0.050 0.047 0.050 -0.075 0.018 0.049 0.049
0.200 0.022 0.023 0.026 0.022 0.000 0.023 0.029 0.023 -0.018 0.008 0.024 0.028 0.026 0.028 -0.056 0.005 0.026 0.026
0.400 0.008 0.013 0.011 0.012 0.000 0.012 0.014 0.012 0.000 -0.001 0.012 0.013 0.013 0.012 -0.047 0.002 0.011 0.011
