cachesize accp4 ARC Cacheus Clock FIFO FIFO-Merge GDSF Hyperbolic LHD LIRS LeCaR QDLP S3FIFO S4LRU WTinyLFU TwoQ accp4c accp4p
0.003 0.067 0.057 0.048 0.027 0.000 0.022 0.037 0.019 0.046 0.051 0.029 0.060 0.063 0.050 0.011 0.059 0.068 0.065
0.010 0.083 0.068 0.059 0.037 0.000 0.032 0.048 0.028 0.060 0.063 0.042 0.073 0.074 0.060 0.011 0.071 0.084 0.080
0.030 0.076 0.052 0.046 0.024 0.000 0.023 0.028 0.018 0.052 0.061 0.030 0.059 0.060 0.042 0.046 0.055 0.074 0.069
0.100 0.071 0.042 0.036 0.016 0.000 0.012 0.015 0.005 0.043 0.057 0.028 0.050 0.054 0.025 0.062 0.051 0.070 0.061
0.200 0.066 0.041 0.026 0.016 0.000 0.005 0.016 0.004 0.037 0.053 0.026 0.045 0.048 0.021 0.063 0.050 0.063 0.049
0.400 0.043 0.024 0.023 0.012 0.000 0.003 0.012 -0.000 0.027 0.034 0.025 0.028 0.028 0.018 0.043 0.022 0.041 0.030
