policy P1 P5 P10 P50 average
accp4 0.908 0.961 0.973 1.000 0.992
ARC 0.866 0.948 0.957 1.000 0.983
Cacheus 0.817 0.911 0.929 1.000 0.975
Clock 0.604 0.854 0.881 1.000 0.955
FIFO 0.532 0.768 0.809 1.000 0.930
FIFO-Merge 0.643 0.833 0.855 1.000 0.951
GDSF 0.715 0.869 0.892 1.000 0.964
Hyperbolic 0.603 0.815 0.842 1.000 0.948
LHD 0.800 0.897 0.916 1.000 0.973
LIRS 0.810 0.894 0.937 1.000 0.978
LeCaR 0.623 0.859 0.890 1.000 0.958
QDLP 0.880 0.953 0.977 1.000 0.987
S3FIFO 0.888 0.967 0.987 1.000 0.989
S4LRU 0.779 0.902 0.923 1.000 0.977
WTinyLFU 0.559 0.724 0.828 1.000 0.941
TwoQ 0.826 0.951 0.977 1.000 0.985
