policy P1 P5 P10 P50 average
accp4 0.918 0.964 0.971 1.000 0.993
ARC 0.164 0.632 0.698 0.960 0.892
Cacheus 0.189 0.642 0.715 0.934 0.879
Clock 0.089 0.450 0.564 0.913 0.826
FIFO 0.086 0.423 0.545 0.864 0.792
FIFO-Merge 0.327 0.582 0.601 0.900 0.845
GDSF 0.098 0.484 0.582 0.939 0.845
Hyperbolic 0.099 0.469 0.574 0.908 0.830
LHD 0.575 0.693 0.780 0.946 0.906
LIRS 0.674 0.814 0.892 0.977 0.957
LeCaR 0.087 0.483 0.553 0.919 0.831
QDLP 0.197 0.662 0.735 0.960 0.909
S3FIFO 0.146 0.611 0.691 0.961 0.897
S4LRU 0.647 0.778 0.841 0.949 0.925
WTinyLFU 0.765 0.820 0.853 0.975 0.951
TwoQ 0.133 0.538 0.649 0.939 0.868
