policy P1 P5 P10 P50 average
accp4 0.822 0.946 0.975 1.000 0.990
ARC 0.124 0.602 0.818 0.951 0.880
Cacheus 0.252 0.689 0.809 0.929 0.898
Clock 0.041 0.481 0.590 0.895 0.790
FIFO 0.033 0.430 0.549 0.840 0.757
FIFO-Merge 0.188 0.553 0.634 0.879 0.829
GDSF 0.101 0.557 0.700 0.917 0.838
Hyperbolic 0.141 0.497 0.574 0.894 0.817
LHD 0.504 0.720 0.777 0.921 0.900
LIRS 0.600 0.826 0.869 0.974 0.949
LeCaR 0.035 0.480 0.668 0.906 0.797
QDLP 0.279 0.674 0.848 0.960 0.925
S3FIFO 0.229 0.645 0.828 0.965 0.917
S4LRU 0.461 0.718 0.834 0.943 0.919
WTinyLFU 0.546 0.767 0.813 0.972 0.937
TwoQ 0.184 0.558 0.733 0.928 0.878
