cachesize accp4 ARC Cacheus Clock FIFO FIFO-Merge GDSF Hyperbolic LHD LIRS LeCaR QDLP S3FIFO S4LRU WTinyLFU TwoQ
0.003 0.961 0.946 0.929 0.801 0.765 0.816 0.838 0.799 0.870 0.896 0.808 0.950 0.957 0.865 0.875 0.936
0.010 0.976 0.941 0.913 0.824 0.784 0.823 0.854 0.820 0.891 0.920 0.833 0.948 0.949 0.887 0.875 0.926
0.030 0.987 0.916 0.896 0.804 0.773 0.819 0.836 0.806 0.897 0.939 0.810 0.926 0.917 0.901 0.916 0.890
0.100 0.990 0.880 0.898 0.790 0.757 0.829 0.838 0.817 0.900 0.949 0.797 0.925 0.917 0.919 0.937 0.878
0.200 0.993 0.892 0.879 0.826 0.792 0.845 0.845 0.830 0.906 0.957 0.831 0.909 0.897 0.925 0.951 0.868
0.400 0.995 0.868 0.866 0.833 0.803 0.883 0.850 0.848 0.916 0.960 0.835 0.903 0.896 0.926 0.952 0.859
