cachesize accp4 ARC Cacheus Clock FIFO FIFO-Merge GDSF Hyperbolic LHD LIRS LeCaR QDLP S3FIFO S4LRU WTinyLFU TwoQ
0.003 0.990 0.967 0.922 0.823 0.738 0.833 0.958 0.831 0.988 0.968 0.803 0.992 0.999 0.969 0.992 0.964
0.010 0.987 0.971 0.922 0.879 0.794 0.881 0.974 0.889 0.988 0.971 0.863 0.988 0.992 0.972 0.997 0.964
0.030 0.992 0.980 0.949 0.931 0.856 0.927 0.986 0.941 0.992 0.981 0.926 0.992 0.994 0.982 0.993 0.973
0.100 0.997 0.993 0.985 0.972 0.922 0.966 0.992 0.976 0.979 0.995 0.975 0.997 0.998 0.993 0.999 0.985
0.200 0.999 0.998 0.990 0.988 0.954 0.983 0.996 0.989 0.979 0.999 0.989 0.999 0.998 0.997 0.998 0.990
0.400 0.999 1.000 0.999 0.997 0.978 0.993 0.998 0.997 0.993 0.999 0.996 1.000 0.998 0.998 0.997 0.991
