policy P1 P5 P10 P50 average
accp4 0.956 0.969 0.978 1.000 0.995
ARC 0.095 0.423 0.590 0.980 0.868
Cacheus 0.056 0.454 0.621 0.974 0.866
Clock 0.074 0.383 0.481 0.966 0.833
FIFO 0.048 0.359 0.477 0.940 0.803
FIFO-Merge 0.484 0.598 0.660 0.942 0.883
GDSF 0.087 0.419 0.528 0.974 0.850
Hyperbolic 0.237 0.386 0.538 0.957 0.848
LHD 0.560 0.657 0.727 0.970 0.916
LIRS 0.729 0.821 0.850 0.984 0.960
LeCaR 0.057 0.388 0.496 0.974 0.835
QDLP 0.331 0.568 0.647 0.981 0.903
S3FIFO 0.307 0.567 0.632 0.978 0.896
S4LRU 0.607 0.688 0.794 0.971 0.926
WTinyLFU 0.673 0.803 0.849 0.980 0.952
TwoQ 0.295 0.402 0.609 0.956 0.859
