policy P1 P5 P10 P50 average
accp4 0.849 0.939 0.949 0.991 0.980
ARC 0.540 0.871 0.918 0.984 0.951
Cacheus 0.564 0.808 0.882 0.972 0.945
Clock 0.328 0.599 0.709 0.942 0.879
FIFO 0.319 0.571 0.662 0.915 0.853
FIFO-Merge 0.501 0.662 0.788 0.939 0.894
GDSF 0.330 0.658 0.796 0.948 0.897
Hyperbolic 0.355 0.594 0.721 0.932 0.869
LHD 0.551 0.775 0.823 0.963 0.936
LIRS 0.789 0.906 0.933 0.976 0.965
LeCaR 0.327 0.597 0.697 0.945 0.883
QDLP 0.727 0.899 0.937 0.980 0.966
S3FIFO 0.706 0.904 0.941 0.982 0.969
S4LRU 0.420 0.633 0.830 0.961 0.912
WTinyLFU 0.678 0.805 0.870 0.983 0.954
TwoQ 0.573 0.855 0.907 0.976 0.953
