policy P1 P5 P10 P50 average
accp4 0.811 0.938 0.958 0.999 0.987
ARC 0.267 0.647 0.789 0.967 0.916
Cacheus 0.286 0.508 0.798 0.959 0.896
Clock 0.055 0.350 0.617 0.916 0.804
FIFO 0.051 0.330 0.606 0.868 0.773
FIFO-Merge 0.184 0.391 0.628 0.903 0.819
GDSF 0.079 0.375 0.675 0.935 0.836
Hyperbolic 0.060 0.366 0.664 0.919 0.806
LHD 0.367 0.683 0.793 0.938 0.897
LIRS 0.669 0.809 0.868 0.959 0.939
LeCaR 0.055 0.350 0.626 0.922 0.810
QDLP 0.298 0.670 0.864 0.975 0.926
S3FIFO 0.196 0.558 0.851 0.978 0.917
S4LRU 0.215 0.666 0.805 0.943 0.901
WTinyLFU 0.495 0.705 0.772 0.960 0.916
TwoQ 0.140 0.596 0.761 0.959 0.890
