policy P1 P5 P10 P50 average
accp4 0.791 0.912 0.963 0.993 0.982
ARC 0.380 0.802 0.866 0.987 0.942
Cacheus 0.518 0.750 0.812 0.982 0.936
Clock 0.218 0.589 0.736 0.960 0.879
FIFO 0.212 0.575 0.702 0.928 0.851
FIFO-Merge 0.306 0.660 0.732 0.955 0.888
GDSF 0.233 0.638 0.759 0.957 0.884
Hyperbolic 0.236 0.603 0.737 0.947 0.873
LHD 0.596 0.763 0.836 0.976 0.940
LIRS 0.625 0.831 0.869 0.984 0.953
LeCaR 0.217 0.588 0.737 0.962 0.882
QDLP 0.565 0.818 0.923 0.988 0.961
S3FIFO 0.558 0.812 0.943 0.993 0.965
S4LRU 0.438 0.704 0.782 0.971 0.913
WTinyLFU 0.570 0.758 0.853 0.986 0.945
TwoQ 0.421 0.766 0.909 0.990 0.948
