cachesize accp4 ARC Cacheus Clock FIFO FIFO-Merge GDSF Hyperbolic LHD LIRS LeCaR QDLP S3FIFO S4LRU WTinyLFU TwoQ
0.003 0.979 0.906 0.924 0.878 0.798 0.885 0.931 0.892 0.976 0.896 0.861 0.992 1.000 0.978 0.777 0.980
0.010 0.998 0.933 0.957 0.921 0.842 0.929 0.961 0.940 0.952 0.946 0.925 1.000 1.000 0.988 0.803 0.973
0.030 0.996 0.963 0.980 0.962 0.900 0.968 0.986 0.968 0.939 0.968 0.970 1.000 0.996 0.996 0.836 0.969
0.100 0.995 0.986 0.987 0.986 0.952 0.989 0.998 0.989 0.941 0.977 0.990 1.000 0.996 0.999 0.881 0.969
0.200 0.994 0.995 0.998 0.993 0.972 0.994 1.000 0.994 0.954 0.980 0.995 0.999 0.997 0.999 0.918 0.977
0.400 0.995 1.000 0.997 0.998 0.986 0.998 1.000 0.998 0.987 0.985 0.998 0.999 0.999 0.999 0.940 0.988
