cachesize accp4 ARC Cacheus Clock FIFO FIFO-Merge GDSF Hyperbolic LHD LIRS LeCaR QDLP S3FIFO S4LRU WTinyLFU TwoQ
0.003 0.998 0.985 0.983 0.974 0.942 0.969 0.987 0.970 0.995 0.987 0.978 0.998 1.000 0.989 0.987 0.997
0.010 0.999 0.991 0.993 0.986 0.962 0.981 0.992 0.981 0.996 0.993 0.990 0.999 1.000 0.994 0.980 0.998
0.030 1.000 0.995 0.996 0.993 0.976 0.989 0.996 0.988 0.993 0.996 0.995 1.000 1.000 0.997 0.990 0.998
0.100 0.999 0.996 0.997 0.995 0.985 0.993 0.998 0.994 0.991 0.996 0.997 1.000 1.000 0.998 0.987 0.998
0.200 0.999 0.999 0.998 0.996 0.989 0.995 0.998 0.996 0.993 0.998 0.998 1.000 1.000 0.999 0.992 0.996
0.400 1.000 1.000 0.999 0.999 0.994 0.998 0.999 0.998 0.997 0.999 0.999 1.000 0.999 0.999 0.995 0.996
