policy P1 P5 P10 P50 average
accp4 0.928 0.955 0.968 0.996 0.990
ARC 0.782 0.895 0.925 0.995 0.972
Cacheus 0.795 0.896 0.926 0.991 0.970
Clock 0.770 0.846 0.896 0.988 0.960
FIFO 0.746 0.878 0.897 0.970 0.949
FIFO-Merge 0.788 0.845 0.878 0.972 0.951
GDSF 0.782 0.853 0.894 0.987 0.960
Hyperbolic 0.780 0.837 0.873 0.974 0.948
LHD 0.834 0.909 0.937 0.993 0.974
LIRS 0.863 0.922 0.951 0.990 0.981
LeCaR 0.787 0.902 0.928 0.994 0.972
QDLP 0.835 0.900 0.936 0.993 0.975
S3FIFO 0.852 0.909 0.936 0.992 0.975
S4LRU 0.799 0.871 0.899 0.986 0.966
WTinyLFU 0.925 0.962 0.970 0.997 0.989
TwoQ 0.831 0.918 0.939 0.985 0.970
