policy P1 P5 P10 P50 average
accp4 0.914 0.948 0.962 0.998 0.989
ARC 0.720 0.912 0.941 0.993 0.968
Cacheus 0.687 0.887 0.929 0.991 0.962
Clock 0.594 0.829 0.900 0.975 0.942
FIFO 0.574 0.793 0.874 0.950 0.920
FIFO-Merge 0.666 0.836 0.899 0.967 0.941
GDSF 0.609 0.844 0.908 0.972 0.945
Hyperbolic 0.597 0.819 0.893 0.965 0.936
LHD 0.777 0.900 0.933 0.986 0.967
LIRS 0.844 0.921 0.939 0.991 0.976
LeCaR 0.610 0.845 0.910 0.980 0.948
QDLP 0.774 0.921 0.947 0.995 0.974
S3FIFO 0.768 0.927 0.950 0.996 0.975
S4LRU 0.698 0.870 0.915 0.977 0.959
WTinyLFU 0.703 0.827 0.906 0.988 0.962
TwoQ 0.727 0.913 0.946 0.992 0.970
