cachesize accp4 ARC Cacheus Clock FIFO FIFO-Merge GDSF Hyperbolic LHD LIRS LeCaR QDLP S3FIFO S4LRU WTinyLFU TwoQ
0.003 0.917 0.931 0.897 0.835 0.810 0.825 0.855 0.833 0.873 0.842 0.853 0.885 0.861 0.850 0.781 0.851
0.010 0.957 0.845 0.829 0.740 0.698 0.754 0.781 0.748 0.823 0.872 0.762 0.846 0.846 0.835 0.848 0.806
0.030 0.972 0.792 0.759 0.724 0.696 0.728 0.741 0.723 0.785 0.904 0.739 0.896 0.896 0.906 0.882 0.788
0.100 0.957 0.853 0.814 0.691 0.680 0.743 0.712 0.690 0.816 0.901 0.700 0.849 0.787 0.889 0.896 0.753
0.200 0.980 0.785 0.745 0.639 0.625 0.791 0.661 0.692 0.856 0.927 0.637 0.728 0.712 0.907 0.920 0.714
0.400 0.985 0.850 0.926 0.765 0.746 0.880 0.797 0.818 0.920 0.957 0.819 0.921 0.901 0.942 0.952 0.853
