cachesize accp4 ARC Cacheus Clock FIFO FIFO-Merge GDSF Hyperbolic LHD LIRS LeCaR QDLP S3FIFO S4LRU WTinyLFU TwoQ
0.003 0.986 0.973 0.971 0.966 0.939 0.964 0.974 0.965 0.995 0.949 0.973 0.988 0.994 0.983 0.917 0.991
0.010 0.995 0.981 0.982 0.976 0.957 0.977 0.984 0.975 0.994 0.981 0.983 0.992 0.998 0.989 0.969 0.993
0.030 0.994 0.988 0.988 0.985 0.972 0.984 0.988 0.983 0.991 0.989 0.987 0.993 0.997 0.991 0.973 0.994
0.100 0.995 0.990 0.987 0.984 0.978 0.986 0.991 0.984 0.989 0.993 0.987 0.994 0.997 0.993 0.984 0.994
0.200 0.998 0.995 0.995 0.994 0.986 0.992 0.997 0.993 0.991 0.996 0.995 0.997 0.998 0.996 0.989 0.996
0.400 0.999 0.998 0.997 0.997 0.992 0.997 0.999 0.997 0.997 0.998 0.998 0.999 0.999 0.999 0.995 0.996
