policy P1 P5 P10 P50 average
accp4 0.927 0.971 0.986 0.999 0.994
ARC 0.826 0.941 0.961 0.998 0.981
Cacheus 0.701 0.916 0.948 0.996 0.972
Clock 0.626 0.856 0.913 0.983 0.952
FIFO 0.565 0.810 0.862 0.941 0.918
FIFO-Merge 0.665 0.861 0.906 0.968 0.947
GDSF 0.689 0.878 0.926 0.989 0.962
Hyperbolic 0.615 0.846 0.895 0.974 0.944
LHD 0.803 0.913 0.937 0.991 0.973
LIRS 0.848 0.902 0.948 0.986 0.976
LeCaR 0.639 0.872 0.918 0.988 0.957
QDLP 0.848 0.955 0.973 0.998 0.985
S3FIFO 0.858 0.962 0.981 0.998 0.986
S4LRU 0.755 0.894 0.937 0.992 0.973
WTinyLFU 0.609 0.757 0.841 0.962 0.929
TwoQ 0.809 0.949 0.976 0.999 0.983
