policy P1 P5 P10 P50 average
accp4 0.926 0.962 0.968 0.994 0.988
ARC 0.660 0.856 0.883 0.981 0.955
Cacheus 0.711 0.866 0.887 0.977 0.952
Clock 0.601 0.754 0.817 0.951 0.915
FIFO 0.530 0.696 0.738 0.918 0.887
FIFO-Merge 0.661 0.796 0.833 0.939 0.916
GDSF 0.633 0.769 0.830 0.949 0.919
Hyperbolic 0.565 0.758 0.827 0.932 0.907
LHD 0.711 0.826 0.897 0.970 0.951
LIRS 0.847 0.925 0.942 0.982 0.974
LeCaR 0.630 0.769 0.835 0.959 0.929
QDLP 0.744 0.901 0.918 0.983 0.964
S3FIFO 0.732 0.902 0.919 0.981 0.966
S4LRU 0.633 0.822 0.860 0.964 0.933
WTinyLFU 0.692 0.843 0.896 0.982 0.956
TwoQ 0.699 0.871 0.892 0.973 0.954
