cachesize accp4 ARC Cacheus Clock FIFO FIFO-Merge GDSF Hyperbolic LHD LIRS LeCaR QDLP S3FIFO S4LRU WTinyLFU TwoQ
0.003 0.991 0.979 0.958 0.884 0.821 0.883 0.929 0.883 0.947 0.965 0.876 0.987 1.000 0.947 0.922 0.978
0.010 0.999 0.996 0.915 0.822 0.773 0.833 0.878 0.822 0.909 0.987 0.817 0.992 0.989 0.956 0.875 0.955
0.030 1.000 0.958 0.891 0.788 0.739 0.788 0.870 0.774 0.868 0.953 0.776 0.971 0.975 0.909 0.879 0.947
0.100 1.000 0.968 0.915 0.857 0.774 0.855 0.895 0.857 0.865 0.983 0.843 0.940 0.946 0.924 0.948 0.947
0.200 1.000 0.977 0.976 0.964 0.870 0.911 0.966 0.909 0.921 0.975 0.970 0.986 0.983 0.957 0.935 0.975
0.400 1.000 0.988 0.981 0.980 0.931 0.967 0.983 0.979 0.961 0.986 0.980 0.986 0.986 0.987 0.961 0.972
