policy P1 P5 P10 P50 average
accp4 0.798 0.809 0.894 1.000 0.976
ARC 0.571 0.783 0.854 1.000 0.960
Cacheus 0.602 0.773 0.848 0.999 0.958
Clock 0.453 0.741 0.801 0.996 0.930
FIFO 0.440 0.703 0.778 0.978 0.910
FIFO-Merge 0.472 0.763 0.801 0.991 0.930
GDSF 0.462 0.773 0.814 0.994 0.935
Hyperbolic 0.461 0.735 0.799 0.991 0.923
LHD 0.585 0.814 0.855 1.000 0.961
LIRS 0.656 0.778 0.822 0.994 0.959
LeCaR 0.450 0.737 0.809 0.998 0.932
QDLP 0.606 0.787 0.854 1.000 0.964
S3FIFO 0.584 0.885 0.950 1.000 0.973
S4LRU 0.537 0.814 0.855 0.997 0.950
WTinyLFU 0.472 0.735 0.838 1.000 0.945
TwoQ 0.510 0.842 0.916 1.000 0.962
