policy P1 P5 P10 P50 average
accp4 0.961 0.982 0.988 0.998 0.996
ARC 0.627 0.941 0.963 0.998 0.980
Cacheus 0.639 0.921 0.949 0.995 0.977
Clock 0.543 0.923 0.955 0.995 0.973
FIFO 0.630 0.876 0.906 0.966 0.949
FIFO-Merge 0.749 0.911 0.937 0.981 0.968
GDSF 0.594 0.926 0.958 0.995 0.975
Hyperbolic 0.603 0.907 0.940 0.989 0.969
LHD 0.744 0.935 0.962 0.995 0.981
LIRS 0.879 0.963 0.976 0.993 0.988
LeCaR 0.585 0.935 0.959 0.998 0.977
QDLP 0.787 0.938 0.966 0.997 0.984
S3FIFO 0.777 0.934 0.961 0.996 0.982
S4LRU 0.817 0.915 0.959 0.996 0.983
WTinyLFU 0.857 0.931 0.954 0.988 0.979
TwoQ 0.734 0.918 0.940 0.985 0.970
