cachesize accp4 ARC Cacheus Clock FIFO FIFO-Merge GDSF Hyperbolic LHD LIRS LeCaR QDLP S3FIFO S4LRU WTinyLFU TwoQ
0.003 1.000 0.974 0.953 0.894 0.842 0.897 0.920 0.892 0.951 0.983 0.907 0.979 0.980 0.939 0.909 0.965
0.010 1.000 0.964 0.954 0.924 0.880 0.913 0.921 0.923 0.947 0.968 0.932 0.964 0.963 0.945 0.930 0.953
0.030 0.986 0.922 0.917 0.876 0.822 0.871 0.879 0.878 0.916 0.956 0.883 0.919 0.917 0.922 0.936 0.907
0.100 0.999 0.811 0.786 0.745 0.731 0.781 0.756 0.752 0.852 0.951 0.766 0.830 0.837 0.814 0.931 0.823
0.200 1.000 0.760 0.768 0.713 0.697 0.764 0.739 0.705 0.797 0.935 0.738 0.868 0.869 0.786 0.902 0.771
0.400 1.000 0.728 0.812 0.732 0.710 0.816 0.754 0.755 0.816 0.929 0.749 0.863 0.855 0.856 0.914 0.818
