policy P1 P5 P10 P50 average
accp4 0.654 0.908 0.947 0.994 0.976
ARC 0.444 0.739 0.893 0.972 0.941
Cacheus 0.445 0.655 0.802 0.960 0.913
Clock 0.135 0.355 0.624 0.920 0.824
FIFO 0.127 0.310 0.545 0.882 0.784
FIFO-Merge 0.147 0.388 0.657 0.899 0.823
GDSF 0.156 0.366 0.634 0.949 0.854
Hyperbolic 0.135 0.335 0.629 0.914 0.820
LHD 0.325 0.638 0.749 0.942 0.891
LIRS 0.340 0.736 0.805 0.953 0.920
LeCaR 0.133 0.364 0.631 0.930 0.833
QDLP 0.428 0.743 0.910 0.979 0.948
S3FIFO 0.437 0.722 0.889 0.988 0.949
S4LRU 0.298 0.601 0.718 0.954 0.887
WTinyLFU 0.237 0.511 0.705 0.957 0.875
TwoQ 0.402 0.695 0.786 0.977 0.926
