policy P1 P5 P10 P50 average
accp4 0.933 0.947 0.959 0.994 0.987
ARC 0.807 0.890 0.913 0.982 0.964
Cacheus 0.745 0.860 0.886 0.979 0.950
Clock 0.713 0.834 0.865 0.967 0.941
FIFO 0.645 0.816 0.849 0.950 0.926
FIFO-Merge 0.746 0.822 0.844 0.955 0.931
GDSF 0.715 0.837 0.862 0.965 0.941
Hyperbolic 0.668 0.819 0.848 0.957 0.930
LHD 0.803 0.872 0.900 0.984 0.960
LIRS 0.896 0.922 0.935 0.983 0.975
LeCaR 0.714 0.851 0.881 0.977 0.950
QDLP 0.850 0.896 0.915 0.983 0.967
S3FIFO 0.851 0.911 0.926 0.984 0.971
S4LRU 0.796 0.831 0.850 0.970 0.946
WTinyLFU 0.871 0.939 0.955 0.997 0.984
TwoQ 0.793 0.920 0.942 0.987 0.972
