cachesize accp4 ARC Cacheus Clock FIFO FIFO-Merge GDSF Hyperbolic LHD LIRS LeCaR QDLP S3FIFO S4LRU WTinyLFU TwoQ
0.003 0.993 0.991 0.983 0.970 0.949 0.968 0.990 0.969 0.999 0.962 0.966 0.994 1.000 0.987 0.905 0.997
0.010 0.992 0.989 0.985 0.972 0.950 0.968 0.988 0.970 0.993 0.963 0.969 0.993 0.999 0.984 0.934 0.997
0.030 0.990 0.985 0.983 0.970 0.949 0.965 0.984 0.969 0.965 0.963 0.967 0.992 1.000 0.983 0.938 0.996
0.100 0.997 0.986 0.980 0.968 0.945 0.965 0.980 0.966 0.944 0.976 0.965 0.997 1.000 0.981 0.948 0.983
0.200 0.998 0.999 0.993 0.979 0.957 0.977 0.988 0.976 0.950 0.988 0.980 0.999 0.998 0.987 0.962 0.982
0.400 0.996 1.000 0.988 0.995 0.971 0.995 0.998 0.992 0.962 0.991 0.996 1.000 0.994 0.995 0.976 0.979
