,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
msr_proj_2.oracleGeneral.zst_29266482,0.6642,0.6566,0.5529,0.705,0.6562,0.6959,0.6853,0.6436,0.6619,0.6876,0.6654,0.6556,0.7008,0.702,0.6826,0.7007,0.7018
msr_proj_1.oracleGeneral.zst_23639742,0.6645,0.6632,0.6536,0.672,0.6632,0.6864,0.6658,0.6551,0.6613,0.6614,0.6625,0.666,0.6632,0.6659,0.6637,0.6808,0.6793
msr_prxy_0.oracleGeneral.zst_12518968,0.0169,0.0168,0.013,0.0165,0.0172,0.0215,0.0181,0.0142,0.0176,0.0154,0.0169,0.0171,0.0168,0.017,0.0169,0.018,0.0159
msr_prxy_1.oracleGeneral.zst_168638964,0.0024,0.0024,0.0023,0.0024,0.0024,0.0027,0.0025,0.0023,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0025,0.0024
msr_prn_0.oracleGeneral.zst_5585886,0.1299,0.1309,0.1274,0.1311,0.1346,0.1494,0.1475,0.1289,0.1436,0.1332,0.1307,0.1345,0.1309,0.1318,0.1312,0.1458,0.1358
msr_usr_1.oracleGeneral.zst_45283980,0.3273,0.3261,0.3084,0.3311,0.3264,0.3464,0.3312,0.3187,0.3318,0.3305,0.325,0.3319,0.326,0.33,0.326,0.3372,0.3259
msr_prn_1.oracleGeneral.zst_11233411,0.2032,0.2044,0.1935,0.2045,0.2394,0.2453,0.2342,0.1971,0.231,0.2076,0.1984,0.2181,0.2044,0.2088,0.2049,0.2424,0.2046
msr_proj_0.oracleGeneral.zst_4224524,0.0898,0.0938,0.0705,0.0933,0.1035,0.1106,0.1111,0.0868,0.1026,0.1015,0.0985,0.1007,0.09,0.0907,0.0926,0.1076,0.0988
msr_src1_1.oracleGeneral.zst_45746222,0.6967,0.6001,0.4554,0.7244,0.7636,0.765,0.629,0.6493,0.7419,0.5132,0.5491,0.6232,0.5974,0.7204,0.5992,0.7592,0.534
msr_hm_0.oracleGeneral.zst_3993316,0.174,0.1745,0.1157,0.1764,0.1791,0.1905,0.167,0.1252,0.1832,0.1497,0.1711,0.1771,0.1751,0.1751,0.1715,0.1824,0.1655
msr_src1_0.oracleGeneral.zst_37415613,0.7829,0.8026,0.5008,0.8101,0.8082,0.7933,0.6591,0.6885,0.7863,0.5225,0.7707,0.8166,0.7513,0.7538,0.5593,0.7081,0.5157
msr_web_2.oracleGeneral.zst_5175368,0.6212,0.8955,0.4928,0.8486,0.9273,0.9217,0.7104,0.8705,0.8737,0.6563,0.6215,0.9215,0.7058,0.6938,0.6361,0.7469,0.5634
msr_proj_4.oracleGeneral.zst_6465639,0.4692,0.4692,0.4644,0.4721,0.4773,0.544,0.5236,0.4661,0.4857,0.4813,0.4646,0.4751,0.4692,0.4885,0.4697,0.5281,0.4647
msr_usr_2.oracleGeneral.zst_10570046,0.7081,0.7051,0.6977,0.7133,0.705,0.7343,0.7205,0.7011,0.7139,0.7234,0.7119,0.7234,0.7047,0.7182,0.7115,0.7231,0.7323
