,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
msr_proj_2.oracleGeneral.zst_29266482,0.8601,0.8664,0.7884,0.8616,0.875,0.8814,0.8806,0.8318,0.8754,0.8649,0.8527,0.8697,0.8782,0.8738,0.8519,0.8589,0.8519,0.8721,0.895
msr_proj_1.oracleGeneral.zst_23639742,0.693,0.6836,0.6536,0.6843,0.7279,0.7296,0.7367,0.6751,0.728,0.6837,0.6956,0.7087,0.729,0.696,0.6834,0.6924,0.6896,0.728,0.7331
msr_prxy_0.oracleGeneral.zst_12518968,0.0652,0.0706,0.047,0.0688,0.0757,0.1032,0.0691,0.0548,0.075,0.0809,0.0551,0.0663,0.078,0.0746,0.0656,0.0657,0.0652,0.0658,0.0606
msr_prxy_1.oracleGeneral.zst_168638964,0.0027,0.0028,0.0025,0.0028,0.0044,0.0101,0.005,0.0026,0.0053,0.016,0.0028,0.0027,0.0048,0.003,0.0027,0.0028,0.0035,0.003,0.0027
msr_prn_0.oracleGeneral.zst_5585886,0.2194,0.2222,0.1809,0.2359,0.257,0.2677,0.2568,0.1916,0.2578,0.2397,0.2092,0.2171,0.2621,0.2474,0.2185,0.2146,0.2102,0.2381,0.2276
msr_usr_1.oracleGeneral.zst_45283980,0.4025,0.4108,0.3631,0.423,0.4555,0.462,0.4465,0.3868,0.4538,0.4179,0.3927,0.3949,0.4604,0.4572,0.4098,0.4118,0.3912,0.4418,0.3874
msr_prn_1.oracleGeneral.zst_11233411,0.4274,0.478,0.3256,0.4549,0.4927,0.5346,0.4837,0.3241,0.5092,0.462,0.3513,0.434,0.5018,0.4935,0.4278,0.4186,0.3989,0.3963,0.395
msr_proj_0.oracleGeneral.zst_4224524,0.3729,0.3845,0.2638,0.3787,0.3939,0.4317,0.3927,0.3326,0.3967,0.6148,0.3478,0.3684,0.4009,0.3966,0.3717,0.3743,0.3592,0.381,0.3675
msr_src1_1.oracleGeneral.zst_45746222,0.9131,0.9323,0.7842,0.9015,0.8919,0.8912,0.8918,0.8618,0.8925,0.9032,0.8623,0.9407,0.8906,0.8905,0.9152,0.907,0.8731,0.8984,0.8967
msr_hm_0.oracleGeneral.zst_3993316,0.3564,0.3613,0.2899,0.3685,0.3837,0.4017,0.3584,0.3111,0.3838,0.3915,0.3237,0.3613,0.3875,0.3828,0.3506,0.3512,0.3496,0.3637,0.3451
msr_src1_0.oracleGeneral.zst_37415613,0.8762,0.9197,0.8778,0.9141,0.9413,0.947,0.9365,0.8424,0.9421,0.8629,0.8188,0.8754,0.9443,0.9414,0.8727,0.8808,0.8517,0.8883,0.8653
msr_web_2.oracleGeneral.zst_5175368,0.9531,0.979,0.9311,0.979,0.9933,0.9933,0.9921,0.9408,0.9932,0.9791,0.9525,0.9638,0.9933,0.9933,0.9789,0.9929,0.9539,0.993,0.9474
msr_proj_4.oracleGeneral.zst_6465639,0.6636,0.5988,0.4644,0.5949,0.7801,0.7854,0.7749,0.586,0.7799,0.6596,0.5953,0.6773,0.7815,0.6858,0.6589,0.7404,0.5788,0.7662,0.713
msr_usr_2.oracleGeneral.zst_10570046,0.7205,0.734,0.6977,0.7336,0.7728,0.7792,0.7825,0.7369,0.7749,0.7339,0.7532,0.722,0.777,0.7762,0.7338,0.7618,0.7223,0.7762,0.7535
