,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
msr_proj_2.oracleGeneral.zst_29266482,0.8277,0.812,0.6808,0.8084,0.8511,0.8556,0.8273,0.8001,0.8451,0.8195,0.8042,0.8466,0.8547,0.8543,0.8065,0.8183,0.8295,0.8412,0.8867
msr_proj_1.oracleGeneral.zst_23639742,0.6795,0.6787,0.6536,0.682,0.7178,0.7213,0.7017,0.6615,0.7131,0.6787,0.6779,0.7049,0.7205,0.719,0.6782,0.685,0.6821,0.7186,0.7002
msr_prxy_0.oracleGeneral.zst_12518968,0.0466,0.048,0.0259,0.046,0.0497,0.0604,0.0453,0.0327,0.05,0.0642,0.0329,0.0443,0.0497,0.0493,0.0465,0.046,0.0445,0.0453,0.0374
msr_prxy_1.oracleGeneral.zst_168638964,0.0025,0.0025,0.0023,0.0025,0.0025,0.0044,0.0031,0.0024,0.0027,0.0025,0.0025,0.0025,0.0026,0.0026,0.0025,0.0025,0.0025,0.0027,0.0026
msr_prn_0.oracleGeneral.zst_5585886,0.1622,0.1774,0.1325,0.177,0.2016,0.2219,0.2071,0.1567,0.2039,0.1744,0.171,0.1588,0.2103,0.1917,0.1658,0.1655,0.1607,0.1913,0.1691
msr_usr_1.oracleGeneral.zst_45283980,0.3523,0.3432,0.3084,0.3486,0.3754,0.3823,0.3889,0.3428,0.3821,0.3435,0.364,0.3474,0.3765,0.3617,0.3431,0.3473,0.3889,0.3718,0.403
msr_prn_1.oracleGeneral.zst_11233411,0.2376,0.2542,0.2006,0.2756,0.3265,0.3613,0.341,0.2387,0.329,0.2769,0.2608,0.2497,0.3411,0.2909,0.2485,0.2349,0.2656,0.2697,0.2286
msr_proj_0.oracleGeneral.zst_4224524,0.2283,0.2377,0.1478,0.2331,0.2429,0.275,0.2446,0.2013,0.2446,0.3459,0.2142,0.2226,0.2478,0.2406,0.2237,0.2264,0.2159,0.243,0.2263
msr_src1_1.oracleGeneral.zst_45746222,0.8733,0.8409,0.6978,0.8564,0.8195,0.8166,0.8438,0.781,0.8295,0.8131,0.7881,0.9133,0.8171,0.8151,0.8506,0.8317,0.8146,0.836,0.8393
msr_hm_0.oracleGeneral.zst_3993316,0.2998,0.3047,0.2072,0.3055,0.3173,0.3337,0.2824,0.2179,0.3165,0.3247,0.2374,0.2958,0.322,0.3177,0.2994,0.2991,0.287,0.3057,0.2838
msr_src1_0.oracleGeneral.zst_37415613,0.7797,0.8662,0.7961,0.8524,0.9146,0.9196,0.9067,0.7794,0.9146,0.7806,0.7523,0.7815,0.9176,0.9101,0.7725,0.8154,0.7762,0.8802,0.8077
msr_web_2.oracleGeneral.zst_5175368,0.8985,0.9783,0.8428,0.9786,0.9926,0.9927,0.9708,0.9365,0.9887,0.9783,0.9233,0.89,0.9927,0.9927,0.9904,0.9906,0.8817,0.9925,0.885
msr_proj_4.oracleGeneral.zst_6465639,0.5225,0.5041,0.4644,0.5057,0.6636,0.7169,0.6456,0.4789,0.7188,0.5645,0.5255,0.465,0.6846,0.6599,0.5039,0.5222,0.5996,0.5692,0.468
msr_usr_2.oracleGeneral.zst_10570046,0.7243,0.7192,0.6977,0.7269,0.7469,0.7481,0.7545,0.716,0.75,0.7193,0.736,0.7186,0.7474,0.7429,0.7185,0.7365,0.7379,0.7469,0.7726
