,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
msr_proj_2.oracleGeneral.zst_29266482,0.7644,0.7654,0.5763,0.764,0.8094,0.8224,0.7474,0.7681,0.7946,0.7591,0.7772,0.8186,0.7478,0.7672,0.7887,0.8083,0.8272
msr_proj_1.oracleGeneral.zst_23639742,0.6764,0.674,0.6536,0.6776,0.6787,0.7139,0.681,0.6589,0.6869,0.6708,0.6934,0.6998,0.6736,0.6793,0.6787,0.6976,0.7096
msr_prxy_0.oracleGeneral.zst_12518968,0.0265,0.0264,0.0171,0.0266,0.0292,0.0372,0.0295,0.0214,0.0299,0.0223,0.0261,0.0282,0.0272,0.0273,0.0275,0.0273,0.0218
msr_prxy_1.oracleGeneral.zst_168638964,0.0024,0.0024,0.0023,0.0025,0.0025,0.0032,0.0027,0.0024,0.0024,0.0025,0.0024,0.0025,0.0024,0.0024,0.0024,0.0026,0.0025
msr_prn_0.oracleGeneral.zst_5585886,0.1378,0.1411,0.1274,0.1462,0.1662,0.1933,0.1731,0.1374,0.1678,0.1485,0.1364,0.1527,0.1405,0.1434,0.1466,0.161,0.1498
msr_usr_1.oracleGeneral.zst_45283980,0.3416,0.339,0.3084,0.3401,0.3593,0.3682,0.3558,0.3322,0.36,0.349,0.3381,0.3551,0.3389,0.3429,0.3392,0.363,0.3904
msr_prn_1.oracleGeneral.zst_11233411,0.2051,0.2058,0.1935,0.2074,0.2491,0.2803,0.2747,0.2038,0.2557,0.2154,0.2002,0.209,0.2058,0.2112,0.2068,0.265,0.202
msr_proj_0.oracleGeneral.zst_4224524,0.1452,0.1563,0.0986,0.1521,0.156,0.1828,0.1671,0.1326,0.1567,0.1479,0.1478,0.1561,0.1471,0.1489,0.1437,0.1619,0.1913
msr_src1_1.oracleGeneral.zst_45746222,0.7734,0.7656,0.6106,0.837,0.7802,0.7785,0.7831,0.7069,0.7805,0.6842,0.8682,0.8009,0.7492,0.7286,0.7348,0.7529,0.7146
msr_hm_0.oracleGeneral.zst_3993316,0.2396,0.246,0.1492,0.246,0.2552,0.267,0.2241,0.1646,0.257,0.1856,0.2337,0.2571,0.2456,0.2441,0.235,0.2485,0.2253
msr_src1_0.oracleGeneral.zst_37415613,0.6874,0.8136,0.6879,0.7991,0.8897,0.8938,0.8451,0.7354,0.8877,0.6682,0.6916,0.8771,0.685,0.7422,0.6896,0.8582,0.6948
msr_web_2.oracleGeneral.zst_5175368,0.9092,0.9135,0.721,0.8551,0.9279,0.9279,0.9093,0.8736,0.9571,0.9022,0.9168,0.9279,0.9134,0.9095,0.8018,0.9096,0.7687
msr_proj_4.oracleGeneral.zst_6465639,0.4725,0.4725,0.4644,0.4904,0.5747,0.6328,0.5801,0.4665,0.5761,0.4881,0.4648,0.5015,0.4724,0.5378,0.4733,0.63,0.4661
msr_usr_2.oracleGeneral.zst_10570046,0.7191,0.7175,0.6977,0.7157,0.7427,0.7462,0.7415,0.7135,0.7375,0.7324,0.7164,0.7457,0.7136,0.7286,0.7188,0.7374,0.7181
