,accp4,accp4c,accp4p,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
2016_LUN3.oracleGeneral.zst,0.5277,0.5276,0.5453,0.5472,0.4108,0.5749,0.6266,0.6521,0.6263,0.5798,0.6306,0.5937,0.5489,0.6343,0.5423,0.5415,0.5689,0.5536,0.5655
2016_LUN6.oracleGeneral.zst,0.5076,0.5059,0.5266,0.5314,0.3885,0.5604,0.6052,0.6349,0.6075,0.5619,0.6089,0.5662,0.5373,0.6107,0.5207,0.5167,0.5456,0.532,0.5404
2016_LUN1.oracleGeneral.zst,0.5204,0.5199,0.5374,0.5386,0.4063,0.5637,0.608,0.6301,0.613,0.5754,0.6188,0.583,0.5412,0.6121,0.5322,0.5312,0.5601,0.5411,0.6142
2016_LUN0.oracleGeneral.zst,0.4936,0.4938,0.5155,0.5155,0.387,0.5489,0.5987,0.6198,0.5988,0.5613,0.609,0.5667,0.5168,0.6039,0.5091,0.5076,0.5389,0.521,0.6
2016_LUN2.oracleGeneral.zst,0.4929,0.4934,0.5128,0.5111,0.3903,0.5533,0.6133,0.6287,0.6037,0.5707,0.6155,0.5443,0.5127,0.6188,0.5063,0.5043,0.5394,0.5195,0.5276
2016_LUN4.oracleGeneral.zst,0.5238,0.5243,0.5473,0.5443,0.41,0.5841,0.6365,0.6655,0.6372,0.5975,0.6469,0.5993,0.5455,0.6419,0.54,0.5387,0.5803,0.5542,0.5678
