trace_name fifo-mr fifo-wa flex-mr flex-wa s3fifo-mr s3fifo-wa
w01.oracleGeneral.bin.zst 0.8258 1.2541 0.7206 0.2414 0.8315 0.0426
w02.oracleGeneral.bin.zst 0.0600 12.7359 0.0140 0.3542 0.0161 0.9752
w03.oracleGeneral.bin.zst 0.5538 2.9583 0.4983 0.6235 0.5227 0.3679
w04.oracleGeneral.bin.zst 0.4109 2.6048 0.3805 0.6843 0.3936 0.3173
w05.oracleGeneral.bin.zst 0.7639 2.6583 0.7192 0.6240 0.7424 0.1615
w06.oracleGeneral.bin.zst 0.0331 1.2481 0.0280 0.4246 0.0306 0.2536
w07.oracleGeneral.bin.zst 0.3195 1.9452 0.2242 0.3875 0.2517 0.3084
w08.oracleGeneral.bin.zst 0.8081 3.5978 0.5912 0.5832 0.7497 0.4351
w09.oracleGeneral.bin.zst 0.5105 3.0921 0.4352 0.4350 0.4910 0.1304
w10.oracleGeneral.bin.zst 0.5601 2.4584 0.4597 0.5799 0.5001 0.1420
w100.oracleGeneral.bin.zst 0.6522 1.2812 0.5746 0.2486 0.6464 0.0489
w101.oracleGeneral.bin.zst 0.6516 1.2616 0.5802 0.2483 0.6447 0.0472
w102.oracleGeneral.bin.zst 0.1617 1.8010 0.1367 0.6405 0.1421 0.4745
w103.oracleGeneral.bin.zst 0.2055 1.6501 0.1948 0.6026 0.2121 0.4941
w104.oracleGeneral.bin.zst 0.7278 1.6472 0.7510 0.3582 0.7777 0.1516
w105.oracleGeneral.bin.zst 0.7097 4.6459 0.5473 0.3535 0.6362 0.1672
w106.oracleGeneral.bin.zst 0.1468 1.3502 0.1179 0.3360 0.1342 0.2703
w11.oracleGeneral.bin.zst 0.4230 7.6394 0.4270 3.5505 0.4282 3.3074
w12.oracleGeneral.bin.zst 0.0182 1.7680 0.0117 0.4937 0.0129 0.3697
w13.oracleGeneral.bin.zst 0.1803 1.2011 0.1771 0.3297 0.2047 0.2895
w14.oracleGeneral.bin.zst 0.4982 3.2547 0.4212 0.3530 0.4716 0.1745
w15.oracleGeneral.bin.zst 0.8577 3.4687 0.6069 0.4216 0.7746 0.3328
w16.oracleGeneral.bin.zst 0.7459 2.6570 0.6374 0.3968 0.6989 0.1584
w17.oracleGeneral.bin.zst 0.1424 1.5822 0.1240 0.4974 0.1360 0.3857
w18.oracleGeneral.bin.zst 0.5797 2.5387 0.3940 0.6796 0.5129 0.3598
w19.oracleGeneral.bin.zst 0.1570 6.4359 0.1164 2.0752 0.1222 1.9460
w20.oracleGeneral.bin.zst 0.6371 2.4462 0.5612 0.3871 0.6279 0.1614
w21.oracleGeneral.bin.zst 0.8760 7.0320 0.7689 0.5034 0.8358 0.2330
w22.oracleGeneral.bin.zst 0.8797 2.4210 0.7166 0.2415 0.8725 0.0380
w23.oracleGeneral.bin.zst 0.3496 5.5413 0.2790 0.4574 0.2758 0.2611
w24.oracleGeneral.bin.zst 0.4500 2.5113 0.3870 0.6819 0.4085 0.3994
w25.oracleGeneral.bin.zst 0.2138 1.6158 0.1990 0.4823 0.2165 0.6934
w26.oracleGeneral.bin.zst 0.2648 1.6388 0.1875 0.5224 0.2026 0.3376
w27.oracleGeneral.bin.zst 0.3952 1.3617 0.3366 0.5220 0.4534 0.3709
w28.oracleGeneral.bin.zst 0.4152 1.3814 0.3887 0.4803 0.4260 0.3371
w29.oracleGeneral.bin.zst 0.4436 1.3394 0.3462 0.4317 0.4225 0.2512
w30.oracleGeneral.bin.zst 0.1326 1.8766 0.1059 0.8055 0.1107 0.6742
w31.oracleGeneral.bin.zst 0.8393 2.2865 0.7084 0.2760 0.8496 0.0439
w32.oracleGeneral.bin.zst 0.4316 1.9069 0.3792 1.2247 0.3407 0.2952
