trace_name fifo-mr fifo-wa flex-mr flex-wa s3fifo-mr s3fifo-wa
w01.oracleGeneral.bin.zst 0.8258 1.2541 0.7303 0.2441 0.8270 0.0393
w02.oracleGeneral.bin.zst 0.0600 12.7359 0.0193 0.4686 0.0209 1.2314
w03.oracleGeneral.bin.zst 0.5538 2.9583 0.5011 0.6358 0.5221 0.3634
w04.oracleGeneral.bin.zst 0.4109 2.6048 0.3838 0.7022 0.3928 0.3386
w05.oracleGeneral.bin.zst 0.7639 2.6583 0.7144 0.6149 0.7234 0.1437
w06.oracleGeneral.bin.zst 0.0331 1.2481 0.0272 0.4059 0.0286 0.1985
w07.oracleGeneral.bin.zst 0.3195 1.9452 0.2299 0.4049 0.2533 0.3055
w08.oracleGeneral.bin.zst 0.8081 3.5978 0.6065 0.6535 0.7520 0.4531
w09.oracleGeneral.bin.zst 0.5105 3.0921 0.4427 0.4531 0.4869 0.1274
w10.oracleGeneral.bin.zst 0.5601 2.4584 0.4780 0.5971 0.4943 0.3682
w100.oracleGeneral.bin.zst 0.6522 1.2812 0.5770 0.2575 0.6428 0.0487
w101.oracleGeneral.bin.zst 0.6516 1.2616 0.5847 0.2529 0.6422 0.0494
w102.oracleGeneral.bin.zst 0.1617 1.8010 0.1379 0.6639 0.1435 0.4912
w103.oracleGeneral.bin.zst 0.2055 1.6501 0.1924 0.6197 0.2064 0.4855
w104.oracleGeneral.bin.zst 0.7278 1.6472 0.7421 0.3611 0.7677 0.1397
w105.oracleGeneral.bin.zst 0.7097 4.6459 0.5480 0.3767 0.6281 0.1576
w106.oracleGeneral.bin.zst 0.1468 1.3502 0.1200 0.3393 0.1331 0.2643
w11.oracleGeneral.bin.zst 0.4230 7.6394 0.4093 3.7006 0.4094 3.1548
w12.oracleGeneral.bin.zst 0.0182 1.7680 0.0115 0.5026 0.0124 0.3636
w13.oracleGeneral.bin.zst 0.1803 1.2011 0.1768 0.3240 0.1955 0.2807
w14.oracleGeneral.bin.zst 0.4982 3.2547 0.4233 0.3555 0.4684 0.1584
w15.oracleGeneral.bin.zst 0.8577 3.4687 0.6426 0.4234 0.6906 0.4942
w16.oracleGeneral.bin.zst 0.7459 2.6570 0.6464 0.3986 0.6946 0.1530
w17.oracleGeneral.bin.zst 0.1424 1.5822 0.1180 0.4975 0.1261 0.3288
w18.oracleGeneral.bin.zst 0.5797 2.5387 0.4149 0.6702 0.4838 0.5125
w19.oracleGeneral.bin.zst 0.1570 6.4359 0.1121 1.6155 0.1200 1.9236
w20.oracleGeneral.bin.zst 0.6371 2.4462 0.5997 0.6341 0.6128 0.2054
w21.oracleGeneral.bin.zst 0.8760 7.0320 0.7907 0.5861 0.8419 0.2942
w22.oracleGeneral.bin.zst 0.8797 2.4210 0.7370 0.2392 0.8723 0.0339
w23.oracleGeneral.bin.zst 0.3496 5.5413 0.2745 0.4673 0.2748 0.2299
w24.oracleGeneral.bin.zst 0.4500 2.5113 0.3855 0.7086 0.4039 0.3689
w25.oracleGeneral.bin.zst 0.2138 1.6158 0.1880 0.3310 0.2027 0.5895
w26.oracleGeneral.bin.zst 0.2648 1.6388 0.1910 0.5402 0.2037 0.3294
w27.oracleGeneral.bin.zst 0.3952 1.3617 0.3511 0.5442 0.3700 0.3508
w28.oracleGeneral.bin.zst 0.4152 1.3814 0.3588 0.4799 0.3935 0.3151
w29.oracleGeneral.bin.zst 0.4436 1.3394 0.3425 0.4363 0.3898 0.2393
w30.oracleGeneral.bin.zst 0.1326 1.8766 0.1001 0.6398 0.0997 0.6467
w31.oracleGeneral.bin.zst 0.8393 2.2865 0.7103 0.2828 0.8400 0.0390
w32.oracleGeneral.bin.zst 0.4316 1.9069 0.3538 0.8834 0.3490 0.2969
w33.oracleGeneral.bin.zst 0.1466 3.2900 0.1298 1.0831 0.1302 0.9096
w34.oracleGeneral.bin.zst 0.4513 2.8517 0.3954 0.5457 0.4037 0.2084
w35.oracleGeneral.bin.zst 0.0778 2.0648 0.0633 0.6824 0.0667 0.4605
w36.oracleGeneral.bin.zst 0.1367 3.6415 0.1177 1.1503 0.1179 0.9375
w37.oracleGeneral.bin.zst 0.4347 1.3727 0.3185 0.2620 0.3812 0.1781
w38.oracleGeneral.bin.zst 0.6338 3.6840 0.4997 0.3690 0.5610 0.2183
w39.oracleGeneral.bin.zst 0.0776 2.3470 0.0632 0.9224 0.0657 0.7710
w40.oracleGeneral.bin.zst 0.1027 2.6340 0.0894 1.0131 0.0901 0.6726
w41.oracleGeneral.bin.zst 0.0791 2.3699 0.0597 0.7643 0.0626 0.5513
w42.oracleGeneral.bin.zst 0.5611 2.5489 0.5557 1.0575 0.5635 0.5834
w43.oracleGeneral.bin.zst 0.5061 2.2533 0.3817 0.6244 0.4372 0.4941
w44.oracleGeneral.bin.zst 0.8777 5.1866 0.8261 0.3019 0.8463 0.1385
w45.oracleGeneral.bin.zst 0.1017 6.9549 0.0799 2.7282 0.0708 2.0413
w46.oracleGeneral.bin.zst 0.4366 1.0961 0.4463 0.3637 0.4711 0.1679
