trace_name fifo-mr fifo-wa flex-mr flex-wa s3fifo-mr s3fifo-wa
w01.oracleGeneral.bin.zst 0.8296 1.2625 0.7708 0.1438 0.8288 0.0367
w02.oracleGeneral.bin.zst 0.9808 284.4941 0.5869 76.6088 0.7341 93.2278
w03.oracleGeneral.bin.zst 0.5832 3.1551 0.5412 0.3889 0.5496 0.1988
w04.oracleGeneral.bin.zst 0.4389 2.8147 0.4009 0.4008 0.4088 0.1460
w05.oracleGeneral.bin.zst 0.7721 2.7133 0.6872 0.2016 0.7336 0.1200
w06.oracleGeneral.bin.zst 0.0580 1.9916 0.0363 0.3521 0.0371 0.3293
w07.oracleGeneral.bin.zst 0.4439 2.4339 0.3147 0.3751 0.3214 0.2804
w08.oracleGeneral.bin.zst 0.8473 3.8385 0.7818 0.2675 0.7975 0.1380
w09.oracleGeneral.bin.zst 0.5223 3.1394 0.4787 0.3223 0.4935 0.1117
w10.oracleGeneral.bin.zst 0.5722 2.4942 0.4302 0.2044 0.5059 0.1239
w100.oracleGeneral.bin.zst 0.6836 1.3285 0.6058 0.1308 0.6528 0.0368
w101.oracleGeneral.bin.zst 0.6826 1.3060 0.6046 0.1290 0.6526 0.0368
w102.oracleGeneral.bin.zst 0.2009 2.3073 0.1809 0.6247 0.1803 0.4696
w103.oracleGeneral.bin.zst 0.2578 2.1362 0.2446 0.5285 0.2462 0.3422
w104.oracleGeneral.bin.zst 0.7645 1.6800 0.7647 0.2454 0.7938 0.1389
w105.oracleGeneral.bin.zst 0.7490 4.8452 0.6373 0.1886 0.6760 0.1028
w106.oracleGeneral.bin.zst 0.2025 1.8656 0.1713 0.4274 0.1731 0.3471
w11.oracleGeneral.bin.zst 0.6789 12.1847 0.6358 4.1680 0.6466 3.4745
w12.oracleGeneral.bin.zst 0.0266 2.3860 0.0150 0.4860 0.0156 0.3940
w13.oracleGeneral.bin.zst 0.2723 1.6388 0.2501 0.4692 0.2554 0.3949
w14.oracleGeneral.bin.zst 0.5149 3.3080 0.4573 0.2632 0.4774 0.1458
w15.oracleGeneral.bin.zst 0.9104 3.6713 0.6456 0.0877 0.8365 0.1396
w16.oracleGeneral.bin.zst 0.7728 2.8126 0.7168 0.2063 0.7319 0.1016
w17.oracleGeneral.bin.zst 0.1706 1.8487 0.1377 0.4226 0.1455 0.3173
w18.oracleGeneral.bin.zst 0.6424 2.8350 0.5259 0.2821 0.5999 0.1715
w19.oracleGeneral.bin.zst 0.2518 9.7600 0.1478 0.9167 0.1476 1.4075
w20.oracleGeneral.bin.zst 0.6769 2.6055 0.6020 0.1506 0.6481 0.0631
w21.oracleGeneral.bin.zst 0.9106 7.5232 0.7956 0.1215 0.8941 0.0268
w22.oracleGeneral.bin.zst 0.8832 2.4332 0.8012 0.1286 0.8733 0.0320
w23.oracleGeneral.bin.zst 0.4364 5.8531 0.2970 0.3543 0.3165 0.2611
w24.oracleGeneral.bin.zst 0.5016 2.7798 0.4474 0.3937 0.4577 0.2409
w25.oracleGeneral.bin.zst 0.4053 3.4438 0.2648 0.6144 0.2994 0.9370
w26.oracleGeneral.bin.zst 0.3695 2.1444 0.2980 0.5783 0.2881 0.3793
w27.oracleGeneral.bin.zst 0.5531 1.7536 0.4743 0.5342 0.5222 0.3646
w28.oracleGeneral.bin.zst 0.5000 1.6235 0.4299 0.3912 0.4471 0.2808
w29.oracleGeneral.bin.zst 0.4961 1.4823 0.4539 0.3475 0.4930 0.2353
w30.oracleGeneral.bin.zst 0.2259 2.9416 0.2036 0.7717 0.1906 0.9105
w31.oracleGeneral.bin.zst 0.8548 2.3030 0.7803 0.1000 0.8485 0.0266
w32.oracleGeneral.bin.zst 0.5488 2.2467 0.5112 1.2707 0.4771 0.3868
w33.oracleGeneral.bin.zst 0.1676 4.5844 0.1543 1.8034 0.1500 1.0333
w34.oracleGeneral.bin.zst 0.4661 2.9090 0.4121 0.5000 0.4343 0.2018
w35.oracleGeneral.bin.zst 0.0999 2.4700 0.0714 0.4381 0.0743 0.3027
w36.oracleGeneral.bin.zst 0.1567 4.8629 0.1416 1.7006 0.1390 1.0916
w37.oracleGeneral.bin.zst 0.5767 1.6519 0.3764 0.1196 0.4290 0.1553
w38.oracleGeneral.bin.zst 0.6594 3.9326 0.5965 0.4352 0.5953 0.1873
w39.oracleGeneral.bin.zst 0.0999 3.1835 0.0845 1.1126 0.0817 0.8438
w40.oracleGeneral.bin.zst 0.1272 3.7571 0.1160 1.5023 0.1110 0.8537
w41.oracleGeneral.bin.zst 0.0988 2.9761 0.0664 0.3804 0.0693 0.2564
w42.oracleGeneral.bin.zst 0.6838 3.0643 0.6542 0.6899 0.6620 0.5308
w43.oracleGeneral.bin.zst 0.6798 3.0301 0.5686 0.2143 0.5908 0.1306
w44.oracleGeneral.bin.zst 0.8933 5.4024 0.8639 0.2197 0.8690 0.1276
w45.oracleGeneral.bin.zst 0.1302 9.2987 0.1161 2.6618 0.1142 2.1694
w46.oracleGeneral.bin.zst 0.4626 1.1560 0.4771 0.2730 0.4853 0.1921
w47.oracleGeneral.bin.zst 0.1251 9.6872 0.1087 2.5024 0.1089 1.8433
w48.oracleGeneral.bin.zst 0.8871 4.9895 0.6919 0.1301 0.8676 0.0447
w49.oracleGeneral.bin.zst 0.5852 3.4703 0.5082 0.6214 0.5076 0.2570
w50.oracleGeneral.bin.zst 0.3944 3.5368 0.1939 0.1009 0.2191 0.0838
w51.oracleGeneral.bin.zst 0.4201 3.2944 0.3370 0.9339 0.3736 0.0774
