trace_name fifo-mr fifo-wa flex-mr flex-wa s3fifo-mr s3fifo-wa
w01.oracleGeneral.bin.zst 0.7866 1.2126 0.6812 0.3342 0.8328 0.0868
w02.oracleGeneral.bin.zst 0.0229 4.8275 0.0083 0.8604 0.0095 0.8205
w03.oracleGeneral.bin.zst 0.5309 2.7979 0.4591 0.8866 0.4986 0.6749
w04.oracleGeneral.bin.zst 0.4010 2.5500 0.3675 1.0500 0.3917 0.6602
w05.oracleGeneral.bin.zst 0.6743 1.6675 0.6811 0.6814 0.7195 0.6205
w06.oracleGeneral.bin.zst 0.0280 1.1006 0.0281 0.5239 0.0318 0.2716
w07.oracleGeneral.bin.zst 0.2615 1.6814 0.1899 0.4668 0.2373 0.3857
w08.oracleGeneral.bin.zst 0.6836 3.2575 0.5749 1.0043 0.7330 0.5866
w09.oracleGeneral.bin.zst 0.4972 2.9850 0.4116 1.0018 0.4767 0.2165
w10.oracleGeneral.bin.zst 0.4084 1.5044 0.3745 0.6466 0.4376 0.5863
w100.oracleGeneral.bin.zst 0.5829 1.2036 0.5500 0.3759 0.6224 0.0893
w101.oracleGeneral.bin.zst 0.5870 1.1863 0.5532 0.3589 0.6211 0.0887
w102.oracleGeneral.bin.zst 0.1397 1.5101 0.1127 0.5999 0.1276 0.4731
w103.oracleGeneral.bin.zst 0.1748 1.4021 0.1616 0.5668 0.1893 0.4569
w104.oracleGeneral.bin.zst 0.7043 1.6257 0.7328 0.4598 0.7775 0.1574
w105.oracleGeneral.bin.zst 0.6709 4.4289 0.4757 0.4444 0.5782 0.2149
w106.oracleGeneral.bin.zst 0.1316 1.2187 0.1080 0.3814 0.1315 0.2602
w11.oracleGeneral.bin.zst 0.3141 5.6401 0.3221 2.8359 0.3288 2.7598
w12.oracleGeneral.bin.zst 0.0147 1.4978 0.0106 0.5218 0.0126 0.3823
w13.oracleGeneral.bin.zst 0.1753 1.1752 0.1456 0.3401 0.2006 0.2805
