trace_name fifo-mr fifo-wa flex-mr flex-wa s3fifo-mr s3fifo-wa
w01.oracleGeneral.bin.zst 0.8296 1.2625 0.7783 0.1502 0.8393 0.0576
w02.oracleGeneral.bin.zst 0.9808 284.4941 0.5146 66.3756 0.6334 75.6777
w03.oracleGeneral.bin.zst 0.5832 3.1551 0.5472 0.3591 0.5567 0.2305
w04.oracleGeneral.bin.zst 0.4389 2.8147 0.4075 0.3996 0.4166 0.1729
w05.oracleGeneral.bin.zst 0.7721 2.7133 0.7056 0.2056 0.7623 0.1340
w06.oracleGeneral.bin.zst 0.0580 1.9916 0.0376 0.3569 0.0403 0.3825
w07.oracleGeneral.bin.zst 0.4439 2.4339 0.3010 0.3439 0.3186 0.2713
w08.oracleGeneral.bin.zst 0.8473 3.8385 0.7904 0.2355 0.8086 0.1523
w09.oracleGeneral.bin.zst 0.5223 3.1394 0.4823 0.3308 0.5000 0.1285
w10.oracleGeneral.bin.zst 0.5722 2.4942 0.4358 0.2121 0.5169 0.1350
w100.oracleGeneral.bin.zst 0.6836 1.3285 0.6086 0.1399 0.6609 0.0368
w101.oracleGeneral.bin.zst 0.6826 1.3060 0.6082 0.1387 0.6606 0.0368
w102.oracleGeneral.bin.zst 0.2009 2.3073 0.1810 0.5483 0.1849 0.4509
w103.oracleGeneral.bin.zst 0.2578 2.1362 0.2272 0.3771 0.2403 0.3158
w104.oracleGeneral.bin.zst 0.7645 1.6800 0.7919 0.2478 0.7995 0.0901
w105.oracleGeneral.bin.zst 0.7490 4.8452 0.6330 0.1994 0.6679 0.1170
w106.oracleGeneral.bin.zst 0.2025 1.8656 0.1729 0.4219 0.1760 0.3695
w11.oracleGeneral.bin.zst 0.6789 12.1847 0.6478 3.9050 0.6564 3.7046
w12.oracleGeneral.bin.zst 0.0266 2.3860 0.0149 0.4319 0.0161 0.3360
w13.oracleGeneral.bin.zst 0.2723 1.6388 0.2797 0.4720 0.2847 0.4258
w14.oracleGeneral.bin.zst 0.5149 3.3080 0.4648 0.2660 0.4834 0.1877
w15.oracleGeneral.bin.zst 0.9104 3.6713 0.7313 0.2572 0.8096 0.1498
w16.oracleGeneral.bin.zst 0.7728 2.8126 0.7156 0.2088 0.7342 0.1086
w17.oracleGeneral.bin.zst 0.1706 1.8487 0.1469 0.4362 0.1509 0.3501
w18.oracleGeneral.bin.zst 0.6424 2.8350 0.5172 0.2926 0.6040 0.1807
w19.oracleGeneral.bin.zst 0.2518 9.7600 0.1471 0.8062 0.1492 1.4484
w20.oracleGeneral.bin.zst 0.6769 2.6055 0.5962 0.1520 0.6508 0.0773
