
# Curve 0 of 1, 106 points
# x y type
 NaN  NaN  u
 1.34507  0.113901  i
 NaN  0.269281  u
 1.10077  0.123261  i
 1.06772  0.142395  i
 1.37253  0.0743007  i
 1.02304  0.176793  i
 1.23233  0.154115  i
 1.42895  0.0696887  i
 1.09127  0.102663  i
 1.33193  0.0819501  i
 1.24589  0.0984569  i
 1.24575  0.0987749  i
 1.02503  0.270749  i
 1.01778  0.247402  i
 0.999151  0.146071  i
 1.44502  0.0389251  i
 1.03912  0.229095  i
 1.13423  0.342068  i
 1.01192  0.203688  i
 1.03051  0.286307  i
 1.11874  0.0795647  i
 NaN  0.023888  u
 1.24648  0.0733485  i
 1.03967  0.228593  i
 1.32578  0.0995062  i
 1.139  0.0939242  i
 1.23182  0.0578008  i
 2.28635  0.01615  i
 1.70205  0.0528522  i
 1.24734  0.060532  i
 1.10875  0.141629  i
 1.23625  0.178408  i
 1.1134  0.269679  i
 1.17633  0.30463  i
 1.1402  0.240961  i
 1.08375  0.234433  i
 1.02881  0.26234  i
 1.51309  0.0434216  i
 1.08333  0.565585  i
 1.01598  0.393378  i
 1.10114  0.17188  i
 1.03166  0.177368  i
 1.01791  0.349709  i
 1.47319  0.0724015  i
 1.18467  0.110665  i
 1.01711  0.34949  i
 1.01283  0.399856  i
 1.03595  0.127818  i
 1.09361  0.225141  i
 1.34728  0.0707237  i
 1.27554  0.0406671  i
 1.01621  0.286255  i
 0.973018  0.236159  i
 1.01874  0.25832  i
 2.72896  0.0260748  i
 1.18563  0.179062  i
 1.33108  0.0285286  i
 1.1433  0.283481  i
 1.12377  0.140644  i
 1.05227  0.138605  i
 1.11333  0.0958043  i
 1.04043  0.131964  i
 1.08615  0.193185  i
 1.0969  0.241674  i
 1.08655  0.0920769  i
 1.0787  0.301079  i
 1.39666  0.107633  i
 1.07755  0.22879  i
 2.3599  0.070196  i
 1.15563  0.15268  i
 1.12274  0.0831491  i
 1.29551  0.00784193  i
 1.04594  0.16211  i
 1.12375  0.108061  i
 1.15842  0.167682  i
 1.04121  0.277673  i
 1.18214  0.168586  i
 1.05059  0.244082  i
 1.12358  0.283189  i
 1.02421  0.163441  i
 1.05625  0.211987  i
 1.06015  0.199557  i
 1.12275  0.219058  i
 1.0245  0.219929  i
 1.45146  0.0965844  i
 1.19245  0.203406  i
 1.55031  0.016202  i
 1.17536  0.0111777  i
 1.01913  0.0926939  i
 1.05508  0.236327  i
 1.47764  0.0137363  i
 1.20942  0.106348  i
 1.11111  0.285949  i
 1.05877  0.173267  i
 1.10137  0.162389  i
 1.05061  0.0625791  i
 1.07273  0.229605  i
 1.81084  0.0177436  i
 1.49971  0.0355579  i
 1.20035  0.159026  i
 1.08336  0.148685  i
 1.07728  0.302449  i
 1.24657  0.0976499  i
 1.25519  0.098236  i
 1.2099  0.022092  i

