trace_name fifo-mr fifo-wa flex-mr flex-wa s3fifo-mr s3fifo-wa
w01.oracleGeneral.bin.zst 0.8296 1.2625 0.7675 0.1510 0.8346 0.0396
w02.oracleGeneral.bin.zst 0.9808 284.4941 0.5200 66.7873 0.6392 77.2895
w03.oracleGeneral.bin.zst 0.5832 3.1551 0.5413 0.3606 0.5524 0.2167
w04.oracleGeneral.bin.zst 0.4389 2.8147 0.4024 0.3997 0.4132 0.1563
w05.oracleGeneral.bin.zst 0.7721 2.7133 0.6998 0.2049 0.7560 0.1323
w06.oracleGeneral.bin.zst 0.0580 1.9916 0.0366 0.3744 0.0385 0.3723
w07.oracleGeneral.bin.zst 0.4439 2.4339 0.3013 0.3451 0.3173 0.2691
w08.oracleGeneral.bin.zst 0.8473 3.8385 0.7853 0.2357 0.8050 0.1473
w09.oracleGeneral.bin.zst 0.5223 3.1394 0.4768 0.3318 0.4973 0.1148
w10.oracleGeneral.bin.zst 0.5722 2.4942 0.4327 0.2119 0.5122 0.1337
w100.oracleGeneral.bin.zst 0.6836 1.3285 0.6056 0.1391 0.6548 0.0361
w101.oracleGeneral.bin.zst 0.6826 1.3060 0.6051 0.1378 0.6546 0.0363
w102.oracleGeneral.bin.zst 0.2009 2.3073 0.1836 0.6119 0.1851 0.4838
w103.oracleGeneral.bin.zst 0.2578 2.1362 0.2471 0.4940 0.2513 0.3393
w104.oracleGeneral.bin.zst 0.7645 1.6800 0.7819 0.2486 0.7939 0.0978
w105.oracleGeneral.bin.zst 0.7490 4.8452 0.6318 0.1995 0.6703 0.1145
w106.oracleGeneral.bin.zst 0.2025 1.8656 0.1696 0.4165 0.1728 0.3556
w11.oracleGeneral.bin.zst 0.6789 12.1847 0.6471 3.9316 0.6568 3.6997
w12.oracleGeneral.bin.zst 0.0266 2.3860 0.0149 0.4624 0.0159 0.3720
w13.oracleGeneral.bin.zst 0.2723 1.6388 0.2681 0.4687 0.2759 0.4102
w14.oracleGeneral.bin.zst 0.5149 3.3080 0.4584 0.2658 0.4805 0.1646
w15.oracleGeneral.bin.zst 0.9104 3.6713 0.6264 0.0965 0.8106 0.1464
w16.oracleGeneral.bin.zst 0.7728 2.8126 0.7156 0.2085 0.7340 0.1076
w17.oracleGeneral.bin.zst 0.1706 1.8487 0.1447 0.4349 0.1495 0.3471
w18.oracleGeneral.bin.zst 0.6424 2.8350 0.5170 0.2918 0.6028 0.1783
w19.oracleGeneral.bin.zst 0.2518 9.7600 0.1464 0.8130 0.1483 1.4356
w20.oracleGeneral.bin.zst 0.6769 2.6055 0.5958 0.1519 0.6498 0.0716
w21.oracleGeneral.bin.zst 0.9106 7.5232 0.7844 0.1297 0.8935 0.0284
w22.oracleGeneral.bin.zst 0.8832 2.4332 0.7929 0.1374 0.8735 0.0359
w23.oracleGeneral.bin.zst 0.4364 5.8531 0.3002 0.3481 0.3183 0.2725
w24.oracleGeneral.bin.zst 0.5016 2.7798 0.4511 0.3847 0.4625 0.2583
w25.oracleGeneral.bin.zst 0.4053 3.4438 0.2181 0.1303 0.2231 0.1414
w26.oracleGeneral.bin.zst 0.3695 2.1444 0.2924 0.5579 0.2838 0.3696
w27.oracleGeneral.bin.zst 0.5531 1.7536 0.4825 0.5414 0.5509 0.3392
w28.oracleGeneral.bin.zst 0.5000 1.6235 0.4480 0.3948 0.4586 0.3066
w29.oracleGeneral.bin.zst 0.4961 1.4823 0.4690 0.3538 0.5174 0.2487
w30.oracleGeneral.bin.zst 0.2259 2.9416 0.2103 1.0742 0.1982 0.9341
w31.oracleGeneral.bin.zst 0.8548 2.3030 0.7825 0.1161 0.8569 0.0342
w32.oracleGeneral.bin.zst 0.5488 2.2467 0.4311 0.8385 0.4477 0.3718
w33.oracleGeneral.bin.zst 0.1676 4.5844 0.1525 1.6913 0.1479 0.9514
w34.oracleGeneral.bin.zst 0.4661 2.9090 0.4494 0.4924 0.4781 0.3923
w35.oracleGeneral.bin.zst 0.0999 2.4700 0.0736 0.4281 0.0768 0.3090
w36.oracleGeneral.bin.zst 0.1567 4.8629 0.1396 1.5892 0.1366 1.0136
w37.oracleGeneral.bin.zst 0.5767 1.6519 0.3945 0.1986 0.4142 0.1308
w38.oracleGeneral.bin.zst 0.6594 3.9326 0.5927 0.4108 0.5977 0.2150
w39.oracleGeneral.bin.zst 0.0999 3.1835 0.0809 1.0410 0.0784 0.7792
w40.oracleGeneral.bin.zst 0.1272 3.7571 0.1132 1.4008 0.1073 0.7452
w41.oracleGeneral.bin.zst 0.0988 2.9761 0.0657 0.3838 0.0689 0.2517
w42.oracleGeneral.bin.zst 0.6838 3.0643 0.6550 0.6653 0.6667 0.5786
w43.oracleGeneral.bin.zst 0.6798 3.0301 0.5685 0.2128 0.5945 0.1263
w44.oracleGeneral.bin.zst 0.8933 5.4024 0.8628 0.2799 0.8715 0.0958
w45.oracleGeneral.bin.zst 0.1302 9.2987 0.1134 2.5239 0.1111 1.9776
w46.oracleGeneral.bin.zst 0.4626 1.1560 0.4851 0.2803 0.4916 0.1977
w47.oracleGeneral.bin.zst 0.1251 9.6872 0.1074 2.2463 0.1055 1.7495
w48.oracleGeneral.bin.zst 0.8871 4.9895 0.6903 0.1368 0.8651 0.0492
w49.oracleGeneral.bin.zst 0.5852 3.4703 0.4913 0.5559 0.4983 0.2444
w50.oracleGeneral.bin.zst 0.3944 3.5368 0.1809 0.1153 0.2187 0.0881
w51.oracleGeneral.bin.zst 0.4201 3.2944 0.3183 0.7689 0.3748 0.0817
w52.oracleGeneral.bin.zst 0.2405 4.5576 0.1410 0.5145 0.1493 0.6207
w53.oracleGeneral.bin.zst 0.6824 1.1926 0.6682 0.1736 0.6853 0.0368
w54.oracleGeneral.bin.zst 0.8597 1.0177 0.8441 0.1063 0.8460 0.0040
w55.oracleGeneral.bin.zst 0.8615 1.1003 0.8563 0.1545 0.8617 0.0570
w56.oracleGeneral.bin.zst 0.1759 3.2927 0.1034 0.5991 0.1070 0.4650
w57.oracleGeneral.bin.zst 0.2074 3.4112 0.1247 0.7584 0.1238 0.5820
w58.oracleGeneral.bin.zst 0.4061 3.6665 0.3546 0.3402 0.3613 0.2595
w59.oracleGeneral.bin.zst 0.6709 7.1340 0.6459 1.9201 0.6482 1.6469
w60.oracleGeneral.bin.zst 0.7847 3.0827 0.6994 0.3261 0.7121 0.2490
