trace_name fifo-mr fifo-wa flex-mr flex-wa s3fifo-mr s3fifo-wa
w01.oracleGeneral.bin.zst 0.7866 1.2126 0.6805 0.3342 0.8292 0.0738
w02.oracleGeneral.bin.zst 0.0229 4.8275 0.0082 0.8642 0.0094 0.8101
w03.oracleGeneral.bin.zst 0.5309 2.7979 0.4561 0.8889 0.4955 0.6619
w04.oracleGeneral.bin.zst 0.4010 2.5500 0.3654 1.0548 0.3885 0.6938
w05.oracleGeneral.bin.zst 0.6743 1.6675 0.6691 0.6825 0.7036 0.6218
w06.oracleGeneral.bin.zst 0.0280 1.1006 0.0273 0.5240 0.0299 0.2382
w07.oracleGeneral.bin.zst 0.2615 1.6814 0.1901 0.4684 0.2368 0.3842
w08.oracleGeneral.bin.zst 0.6836 3.2575 0.5738 1.0166 0.7269 0.5804
w09.oracleGeneral.bin.zst 0.4972 2.9850 0.4107 1.0061 0.4736 0.2120
w10.oracleGeneral.bin.zst 0.4084 1.5044 0.3735 0.6455 0.4324 0.5833
w100.oracleGeneral.bin.zst 0.5829 1.2036 0.5494 0.3760 0.6193 0.0894
w101.oracleGeneral.bin.zst 0.5870 1.1863 0.5529 0.3591 0.6181 0.0886
w102.oracleGeneral.bin.zst 0.1397 1.5101 0.1099 0.6011 0.1232 0.4645
w103.oracleGeneral.bin.zst 0.1748 1.4021 0.1598 0.5679 0.1854 0.4475
w104.oracleGeneral.bin.zst 0.7043 1.6257 0.7273 0.4606 0.7732 0.1553
w105.oracleGeneral.bin.zst 0.6709 4.4289 0.4710 0.4470 0.5786 0.2078
w106.oracleGeneral.bin.zst 0.1316 1.2187 0.1076 0.3805 0.1300 0.2521
w11.oracleGeneral.bin.zst 0.3141 5.6401 0.3137 2.8459 0.3213 2.6984
w12.oracleGeneral.bin.zst 0.0147 1.4978 0.0103 0.5224 0.0122 0.3791
w13.oracleGeneral.bin.zst 0.1753 1.1752 0.1436 0.3390 0.1929 0.2718
w14.oracleGeneral.bin.zst 0.4870 3.2128 0.3836 0.5059 0.4653 0.1871
w15.oracleGeneral.bin.zst 0.7332 3.1559 0.4457 1.0529 0.5361 0.9218
w16.oracleGeneral.bin.zst 0.7244 2.5597 0.5893 0.6162 0.6730 0.2545
w17.oracleGeneral.bin.zst 0.1253 1.4044 0.1149 0.5725 0.1307 0.4031
w18.oracleGeneral.bin.zst 0.4050 1.9334 0.3418 0.7136 0.4331 0.6174
w19.oracleGeneral.bin.zst 0.1156 4.9230 0.0917 2.1136 0.0964 1.9431
w20.oracleGeneral.bin.zst 0.5984 2.2398 0.5210 0.7700 0.6009 0.5372
w21.oracleGeneral.bin.zst 0.8621 6.8712 0.7370 1.0875 0.7902 0.4280
w22.oracleGeneral.bin.zst 0.8774 2.4103 0.6783 0.3419 0.8708 0.0394
w23.oracleGeneral.bin.zst 0.3353 5.4895 0.2750 0.5547 0.2714 0.2570
w24.oracleGeneral.bin.zst 0.4157 2.3306 0.3196 0.7650 0.3554 0.6113
w25.oracleGeneral.bin.zst 0.1745 1.2938 0.1896 0.7786 0.2115 0.6827
w26.oracleGeneral.bin.zst 0.2108 1.4181 0.1512 0.5751 0.1815 0.3306
w27.oracleGeneral.bin.zst 0.3208 1.2038 0.2655 0.5269 0.3419 0.3470
w28.oracleGeneral.bin.zst 0.3667 1.2020 0.3721 0.5411 0.4092 0.4061
w29.oracleGeneral.bin.zst 0.3893 1.2442 0.3244 0.5164 0.3844 0.2660
