,accp4,accp4c,accp4p,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
msr_proj_2.oracleGeneral.zst,0.9542,0.9538,0.9546,0.9578,0.9053,0.9513,0.9707,0.9742,0.9683,0.9671,0.9717,0.9647,0.9564,0.9653,0.9551,0.9597,0.9707,0.965,0.9803
msr_proj_1.oracleGeneral.zst,0.9107,0.9004,0.9011,0.9025,0.8518,0.9029,0.9107,0.9137,0.9112,0.907,0.9099,0.9077,0.9322,0.9084,0.902,0.8997,0.8992,0.9022,0.938
msr_prxy_0.oracleGeneral.zst,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
msr_prxy_1.oracleGeneral.zst,0.6164,0.6238,0.6238,0.649,0.5654,0.6679,0.6926,0.6988,0.6759,0.6875,0.6894,0.6103,0.6874,0.6792,0.6354,0.6187,0.6565,0.6131,0.6117
msr_prn_0.oracleGeneral.zst,0.3438,0.3415,0.342,0.3453,0.3002,0.3474,0.3496,0.3597,0.3549,0.343,0.3527,0.3443,0.36,0.3483,0.3449,0.3449,0.3581,0.3335,0.3504
msr_usr_1.oracleGeneral.zst,0.513,0.5104,0.5119,0.5101,0.4755,0.5103,0.5159,0.5483,0.539,0.5126,0.5251,0.5152,0.519,0.5111,0.5117,0.5123,0.7495,0.5158,0.5701
msr_prn_1.oracleGeneral.zst,0.7738,0.7636,0.7637,0.7515,0.659,0.7577,0.7538,0.7588,0.76,0.7444,0.7531,0.7525,0.8054,0.7507,0.7655,0.7587,0.7496,0.748,0.8068
msr_proj_0.oracleGeneral.zst,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
msr_src1_1.oracleGeneral.zst,0.967,0.9642,0.9668,0.9519,0.8751,0.963,0.9564,0.956,0.9585,0.9561,0.9565,0.9515,0.975,0.955,0.9661,0.9699,0.961,0.9687,0.9722
msr_hm_0.oracleGeneral.zst,0.4489,0.4481,0.4495,0.4483,0.3969,0.4552,0.4788,0.4996,0.4796,0.4632,0.4797,0.4676,0.452,0.4747,0.4497,0.4505,0.4644,0.4543,0.4589
msr_src1_0.oracleGeneral.zst,0.982,0.9807,0.981,0.9729,0.9294,0.9757,0.9781,0.9785,0.9808,0.9781,0.979,0.9777,0.984,0.9782,0.9809,0.9818,0.9805,0.9812,0.9864
msr_web_2.oracleGeneral.zst,0.9928,0.9928,0.993,0.9961,0.9903,0.9961,0.9962,0.9963,0.9961,0.9961,0.9961,0.9962,0.9925,0.9962,0.9961,0.9961,0.9934,0.9961,0.9931
msr_proj_4.oracleGeneral.zst,0.977,0.9768,0.9776,0.9763,0.941,0.9801,0.985,0.9853,0.9855,0.9847,0.9849,0.9851,0.9784,0.985,0.9776,0.9817,0.9806,0.9838,0.9807
msr_usr_2.oracleGeneral.zst,0.8362,0.8353,0.8358,0.8357,0.8027,0.8384,0.8457,0.8519,0.8501,0.8412,0.8441,0.8437,0.8427,0.8452,0.8351,0.835,0.8344,0.8367,0.8475
