,accp4,accp4c,accp4p,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
msr_proj_2.oracleGeneral.zst,0.9052,0.9051,0.9103,0.906,0.8481,0.9107,0.9241,0.9305,0.9323,0.9131,0.9269,0.9361,0.9146,0.9173,0.906,0.9078,0.939,0.9162,0.9387
msr_proj_1.oracleGeneral.zst,0.8532,0.8534,0.8624,0.8713,0.7875,0.8668,0.8788,0.8753,0.8763,0.8733,0.8758,0.8716,0.8927,0.8711,0.8644,0.8641,0.864,0.8742,0.8823
msr_prxy_0.oracleGeneral.zst,0.1831,0.1932,0.2965,0.3001,0.1629,0.3441,0.3584,0.4815,0.3966,0.2409,0.3662,0.3165,0.2517,0.3332,0.2812,0.2772,0.6656,0.341,0.2218
msr_prxy_1.oracleGeneral.zst,0.4173,0.4284,0.4284,0.4228,0.4043,0.411,0.6331,0.65,0.5888,0.545,0.6251,0.4344,0.4105,0.5162,0.4333,0.4331,0.4784,0.4752,0.4441
msr_prn_0.oracleGeneral.zst,0.3122,0.3119,0.3137,0.3201,0.2633,0.3209,0.3268,0.3339,0.3301,0.3199,0.3298,0.3182,0.3307,0.3249,0.3155,0.316,0.3252,0.3033,0.3103
msr_usr_1.oracleGeneral.zst,0.4724,0.472,0.4738,0.48,0.4428,0.4843,0.4923,0.4989,0.4981,0.4852,0.4889,0.4841,0.487,0.4904,0.474,0.4735,0.4767,0.4798,0.4807
msr_prn_1.oracleGeneral.zst,0.6987,0.6902,0.6942,0.7008,0.5637,0.6976,0.7097,0.7203,0.7041,0.6987,0.7061,0.7039,0.746,0.7046,0.6975,0.6739,0.6899,0.6777,0.7059
msr_proj_0.oracleGeneral.zst,0.4555,0.4538,0.4708,0.4752,0.3687,0.4927,0.5134,0.5596,0.5305,0.5062,0.5235,0.4955,0.4758,0.5097,0.4702,0.4697,0.4991,0.482,0.4849
msr_src1_1.oracleGeneral.zst,0.9453,0.9419,0.9429,0.9254,0.8215,0.9287,0.9222,0.9253,0.9302,0.921,0.9238,0.9214,0.9606,0.9215,0.9424,0.9439,0.9271,0.9375,0.9483
msr_hm_0.oracleGeneral.zst,0.3965,0.3956,0.3971,0.4,0.3456,0.4038,0.4249,0.4451,0.4303,0.4092,0.4286,0.412,0.4039,0.4228,0.3977,0.3988,0.4121,0.4023,0.408
msr_src1_0.oracleGeneral.zst,0.9593,0.9577,0.959,0.9563,0.9017,0.9565,0.9623,0.9649,0.963,0.9621,0.9642,0.9599,0.9669,0.9635,0.9577,0.9578,0.9557,0.9605,0.9671
msr_web_2.oracleGeneral.zst,0.9845,0.9847,0.985,0.9961,0.9796,0.9961,0.9962,0.9962,0.996,0.9961,0.9961,0.9913,0.9836,0.9962,0.9961,0.9961,0.9867,0.9961,0.9847
msr_proj_4.oracleGeneral.zst,0.9324,0.9315,0.9418,0.9512,0.8735,0.9552,0.9742,0.9785,0.9603,0.9737,0.9687,0.9724,0.9331,0.9762,0.942,0.9427,0.9571,0.9576,0.9512
msr_usr_2.oracleGeneral.zst,0.804,0.8042,0.8071,0.8112,0.7701,0.8163,0.8273,0.8315,0.8289,0.8233,0.826,0.8229,0.8116,0.8265,0.805,0.8114,0.8145,0.8181,0.8432
