,accp4,accp4c,accp4p,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
meta_kvcache_traces_1.oracleGeneral.bin.zst,0.2212,0.2205,0.2204,0.2356,0.4077,0.2394,0.248,0.2736,0.2498,0.2273,0.2477,0.2245,0.2361,0.2431,0.2213,0.2181,0.2292,0.2191,0.2319
202206_kv_traces_all.csv.oracleGeneral.zst,0.1571,0.1571,0.1571,0.1679,0.3926,0.1661,0.1744,0.1992,0.1797,0.1673,0.1794,0.1595,0.1657,0.1714,0.1576,0.1562,0.1655,0.1578,0.166
202312_kv_traces_all.csv.oracleGeneral.zst,0.1418,0.1422,0.1421,0.1524,0.3525,0.1534,0.1609,0.1889,0.165,0.1491,0.1627,0.144,0.1501,0.1562,0.1423,0.1399,0.1479,0.1426,0.1483
202210_kv_traces_all_sort.csv.oracleGeneral.zst,0.1584,0.1586,0.1585,0.169,0.1118,0.1681,0.1769,0.2025,0.1825,0.1702,0.1821,0.1614,0.1669,0.1736,0.159,0.1575,0.1676,0.1597,0.1679
202401_kv_traces_all_sort.csv.oracleGeneral.zst,0.1824,0.1825,0.1825,0.1914,0.1366,0.1939,0.2018,0.2269,0.2051,0.1932,0.2056,0.1852,0.1895,0.2004,0.1827,0.1813,0.1895,0.1844,0.1911
