,accp4,accp4c,accp4p,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
meta_kvcache_traces_1.oracleGeneral.bin.zst,0.0757,0.0755,0.0755,0.0792,0.0567,0.0778,0.0805,0.0937,0.0835,0.0781,0.083,0.0826,0.0789,0.0784,0.0752,0.0755,0.0778,0.0778,0.0853
202206_kv_traces_all.csv.oracleGeneral.zst,0.051,0.0508,0.0508,0.0546,0.0381,0.0554,0.0554,0.0638,0.0573,0.0531,0.0565,0.0595,0.0536,0.0537,0.0506,0.0503,0.0529,0.0513,0.0566
202312_kv_traces_all.csv.oracleGeneral.zst,0.0385,0.0382,0.0382,0.0411,0.028,0.0407,0.0403,0.0473,0.0422,0.0394,0.0416,0.0407,0.0411,0.0395,0.0383,0.0385,0.0395,0.0397,0.0588
202210_kv_traces_all_sort.csv.oracleGeneral.zst,0.0526,0.0525,0.0524,0.0563,0.0389,0.0552,0.057,0.0654,0.0589,0.0545,0.0578,0.0624,0.0554,0.0554,0.0522,0.052,0.0545,0.0531,0.0703
202401_kv_traces_all_sort.csv.oracleGeneral.zst,0.072,0.0715,0.0715,0.0753,0.0529,0.0739,0.076,0.086,0.0787,0.0734,0.0776,0.0844,0.0758,0.0754,0.071,0.0713,0.0734,0.0731,0.0795
