,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
meta_kvcache_traces_1.oracleGeneral.bin.zst_335173084,0.2229,0.2351,0.1593,0.2309,0.2325,0.2611,0.2943,0.3406,0.2421,0.3509,0.2412,0.2277,0.2235,0.2249,0.2301,0.226,0.248
202206_kv_traces_all.csv.oracleGeneral.zst_1644762386,0.1396,0.1528,0.0993,0.1488,0.147,0.1662,0.1912,0.2527,0.1518,0.2074,0.156,0.1432,0.1401,0.1412,0.1432,0.1399,0.1615
202312_kv_traces_all.csv.oracleGeneral.zst_8660501058,0.0956,0.1051,0.068,0.0972,0.097,0.1105,0.1276,0.1513,0.1029,0.1131,0.1032,0.095,0.0952,0.0965,0.0957,0.0959,0.1134
202210_kv_traces_all_sort.csv.oracleGeneral.zst_1482478166,0.1611,0.1811,0.1246,0.1709,0.1706,0.1883,0.2085,0.2556,0.1726,0.1959,0.1795,0.1658,0.1619,0.1631,0.1663,0.162,0.1847
202401_kv_traces_all_sort.csv.oracleGeneral.zst_1191241025,0.0975,0.1002,0.0648,0.1019,0.1025,0.119,0.1436,0.1632,0.1092,0.1306,0.1055,0.1007,0.097,0.0977,0.1002,0.0986,0.1045
