,flex-0.10-0.05-1.00,ARC,Belady,CAR,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,GLCache,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
meta_kvcache_traces_1.oracleGeneral.bin.zst_335173084,0.307,0.3232,0.2803,0.3215,0.323,0.3317,0.3618,0.3797,0.4179,0.3978,0.3304,0.4216,0.4307,0.3505,0.336,0.3199,0.3082,0.306,0.3197,0.308,0.3448
202206_kv_traces_all.csv.oracleGeneral.zst_1644762386,0.2037,0.2123,0.165,0.2119,0.2105,0.2108,0.2374,0.2697,0.3138,0.2808,0.2186,0.3618,0.3142,0.2208,0.2125,0.2065,0.2042,0.2061,0.2093,0.2063,0.2276
202312_kv_traces_all.csv.oracleGeneral.zst_8660501058,0.1388,0.1471,0.1238,0.1476,0.1399,0.144,0.1632,0.184,0.1966,0.1979,0.1504,0.24,0.1697,0.1472,0.1447,0.141,0.1385,0.1391,0.1424,0.1389,0.1497
202210_kv_traces_all_sort.csv.oracleGeneral.zst_1482478166,0.2165,0.2326,0.1563,0.2331,0.222,0.2216,0.2452,0.2775,0.3219,0.256,0.2285,0.3717,0.258,0.2334,0.2239,0.2169,0.2169,0.22,0.2209,0.2195,0.2415
202401_kv_traces_all_sort.csv.oracleGeneral.zst_1191241025,0.1504,0.1568,0.1017,0.1565,0.1558,0.16,0.1803,0.2049,0.2184,0.1979,0.1694,0.2622,0.2056,0.1601,0.1618,0.1574,0.1499,0.15,0.1568,0.1524,0.1608
