,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
meta_kvcache_traces_1.oracleGeneral.bin.zst_335173084,0.1515,0.1563,0.1097,0.1598,0.1648,0.1894,0.12,0.0993,0.1683,0.2349,0.1055,0.1542,0.1661,0.1607,0.1522,0.1508,0.1567,0.1529,0.1467
202206_kv_traces_all.csv.oracleGeneral.zst_1644762386,0.0958,0.0984,0.0675,0.1012,0.1035,0.1205,0.0751,0.0619,0.1062,0.1877,0.0729,0.0977,0.1041,0.1004,0.0962,0.0959,0.1001,0.0958,0.0937
202312_kv_traces_all.csv.oracleGeneral.zst_8660501058,0.0746,0.076,0.0491,0.0761,0.0788,0.0947,0.0412,0.031,0.0851,0.1688,0.048,0.0709,0.0789,0.0765,0.0743,0.0746,0.0789,0.0727,0.0691
202210_kv_traces_all_sort.csv.oracleGeneral.zst_1482478166,0.0836,0.087,0.056,0.0893,0.0933,0.1105,0.0488,0.0381,0.0941,0.1651,0.0582,0.0826,0.0943,0.0892,0.0842,0.0841,0.0913,0.0844,0.079
202401_kv_traces_all_sort.csv.oracleGeneral.zst_1191241025,0.1469,0.1448,0.1031,0.1483,0.1511,0.1672,0.0907,0.0714,0.1636,0.2459,0.0965,0.1407,0.1509,0.149,0.1465,0.1465,0.1529,0.143,0.1372
