,accp4,accp4c,accp4p,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
meta_reag.oracleGeneral.zst,0.3787,0.3767,0.3765,0.3777,0.3183,0.3776,0.3824,0.3907,0.3847,0.3771,0.3838,0.3741,0.3906,0.3829,0.3782,0.3752,0.3793,0.3747,0.4015
meta_rprn.oracleGeneral.zst,0.5135,0.5116,0.5116,0.5165,0.4332,0.5218,0.5275,0.5398,0.5289,0.5187,0.5276,0.5161,0.5266,0.5298,0.5132,0.5116,0.5194,0.5132,0.5449
meta_rnha.oracleGeneral.zst,0.5869,0.5844,0.5842,0.5884,0.4883,0.5888,0.598,0.609,0.5998,0.5891,0.5988,0.5868,0.6046,0.5996,0.5862,0.5817,0.591,0.5843,0.617
