cachesize FlexCache S3-FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF
0.003 0.262 0.254 0.081 0.215 0.087 0.147 0.123 0.117
0.010 0.119 0.118 -0.021 0.129 0.031 0.026 0.014 0.086
0.030 0.188 0.115 0.076 0.151 0.074 0.089 0.105 0.081
0.100 0.175 0.188 0.159 0.138 0.028 0.091 0.054 0.053
0.200 0.285 0.188 0.160 0.195 0.033 0.201 0.304 0.067
0.400 0.232 0.173 0.072 0.077 0.048 0.284 0.328 0.026
