cachesize FlexCache S3-FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR GLCache
0.003 0.342 0.366 0.238 0.197 0.189 0.247 0.285 0.041 0.261 -0.274
0.010 0.196 0.211 0.148 0.111 0.114 0.140 0.172 -0.037 0.162 -0.191
0.030 0.108 0.117 0.092 0.061 0.064 0.076 0.089 -0.047 0.099 -0.111
0.100 0.047 0.050 0.043 0.028 0.026 0.036 0.039 -0.025 0.046 -0.060
0.200 0.022 0.023 0.021 0.014 0.011 0.019 0.017 -0.013 0.023 -0.038
0.400 0.008 0.006 0.008 0.005 0.002 0.006 0.003 -0.003 0.008 -0.020
