cachesize FlexCache S3-FIFO ARC Cacheus LeCaR LIRS WTinyLFU
0.003 0.134 0.140 0.036 0.061 0.081 0.015 -0.005
0.010 0.094 0.093 0.017 0.037 0.063 0.027 -0.013
0.030 0.045 0.041 -0.014 0.016 0.034 0.009 -0.041
0.100 0.014 0.012 -0.032 0.003 0.013 -0.008 -0.057
0.200 0.005 0.004 -0.029 -0.001 0.006 -0.011 -0.046
0.400 -0.000 0.002 -0.007 -0.001 0.001 -0.011 -0.041
