cachesize FlexCache S3-FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF
0.003 0.279 0.229 0.153 0.191 0.052 0.169 0.115 0.062
0.010 0.304 0.265 0.188 0.226 0.041 0.251 0.215 0.064
0.030 0.217 0.185 0.147 0.148 0.047 0.204 0.185 0.021
0.100 0.137 0.106 0.070 0.075 0.029 0.145 0.132 -0.004
0.200 0.090 0.058 0.027 0.040 0.015 0.101 0.088 -0.024
0.400 0.035 0.017 0.009 0.004 0.005 0.039 0.035 -0.023
