cachesize FlexCache S3-FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF
0.003 0.290 0.276 0.103 0.214 0.061 0.176 0.188 0.015
0.010 0.285 0.224 0.130 0.193 0.042 0.218 0.216 -0.009
0.030 0.291 0.210 0.145 0.168 0.032 0.268 0.260 0.036
0.100 0.313 0.196 0.111 0.131 0.033 0.303 0.290 0.073
0.200 0.279 0.169 0.116 0.134 0.015 0.295 0.283 0.090
0.400 0.223 0.091 0.054 0.045 0.022 0.250 0.232 0.071
