cachesize FlexCache S3-FIFO ARC Cacheus LeCaR LIRS WTinyLFU
0.003 0.017 0.016 0.002 0.007 0.010 -0.009 -0.012
0.010 0.009 0.008 -0.005 0.001 0.005 -0.007 -0.014
0.030 0.008 0.007 -0.011 -0.001 0.003 -0.006 -0.011
0.100 0.007 0.007 -0.010 -0.002 0.003 -0.002 -0.001
0.200 0.004 0.004 -0.005 -0.001 0.002 0.001 -0.002
0.400 0.000 0.000 -0.002 -0.001 0.000 -0.000 -0.002
