cachesize FlexCache S3-FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR GLCache
0.003 0.001 0.003 -0.007 -0.001 0.000 -0.001 0.006 0.064 -0.006 0.022
0.010 0.002 0.006 -0.008 -0.001 0.000 0.000 0.025 0.078 -0.006 0.034
0.030 0.003 0.008 -0.007 -0.001 -0.000 0.004 0.039 0.070 -0.006 0.040
0.100 0.003 0.007 -0.006 -0.001 0.000 0.007 0.031 0.046 -0.006 0.025
0.200 0.000 0.002 -0.006 -0.002 -0.000 0.006 0.017 0.027 -0.006 0.008
0.400 -0.004 -0.001 -0.007 -0.002 -0.000 0.001 0.006 0.011 -0.008 0.001
