benchmarks FlexCache S3-FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR GLCache
Twitter 0.004 0.007 -0.001 -0.001 -0.000 -0.009 -0.002 -0.003 -0.001 -0.013
MetaKV 0.004 0.004 -0.005 -0.001 0.002 0.001 -0.002 -0.005 -0.006 -0.005
MetaCDN 0.000 0.002 -0.006 -0.002 -0.000 0.006 0.017 0.027 -0.006 0.008
TencentPhoto 0.005 0.004 -0.029 -0.001 0.006 -0.011 -0.046 -0.008 -0.028 -0.021
Wikimedia 0.022 0.023 0.021 0.014 0.011 0.019 0.017 -0.013 0.023 -0.038
Tencent 0.040 0.039 0.017 0.018 0.007 0.042 0.043 -0.031 0.016 -0.031
Systor 0.030 0.029 0.018 0.017 0.018 0.024 -0.000 0.003 0.020 -0.080
fiu 0.259 0.193 0.084 0.097 0.074 0.284 0.242 0.091 0.097 0.132
MSR 0.285 0.188 0.160 0.195 0.033 0.201 0.304 0.067 0.163 0.128
Alibaba 0.090 0.058 0.027 0.040 0.015 0.101 0.088 -0.024 0.030 -0.020
CloudPhysics 0.279 0.169 0.116 0.134 0.015 0.295 0.283 0.090 0.121 0.117
