cachesize FlexCache S3-FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR GLCache
0.003 0.275 0.271 0.276 0.230 0.076 0.271 0.089 0.127 0.276 -0.088
0.010 0.099 0.093 0.099 0.089 0.022 0.105 -0.028 0.040 0.101 -0.013
0.030 0.098 0.054 0.057 0.059 0.013 0.108 0.045 0.009 0.057 0.040
0.100 0.287 0.149 0.121 0.069 0.033 0.329 0.278 0.030 0.124 0.165
0.200 0.259 0.193 0.084 0.097 0.074 0.284 0.242 0.091 0.097 0.132
0.400 0.180 0.159 0.017 0.025 0.066 0.230 0.214 0.103 0.046 0.133
