benchmarks FlexCache S3-FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR GLCache
Twitter 0.007 0.009 -0.003 0.000 0.001 -0.014 -0.003 -0.007 -0.003 -0.023
MetaKV 0.007 0.007 -0.010 -0.002 0.003 -0.002 -0.001 -0.025 -0.011 -0.010
MetaCDN 0.003 0.007 -0.006 -0.001 0.000 0.007 0.031 0.046 -0.006 0.025
TencentPhoto 0.014 0.012 -0.032 0.003 0.013 -0.008 -0.057 -0.014 -0.031 -0.045
Wikimedia 0.047 0.050 0.043 0.028 0.026 0.036 0.039 -0.025 0.046 -0.060
Tencent 0.068 0.061 0.023 0.036 0.009 0.068 0.066 -0.038 0.021 -0.043
Systor 0.272 0.317 0.268 0.198 0.010 0.339 0.287 0.190 0.260 0.108
fiu 0.287 0.149 0.121 0.069 0.033 0.329 0.278 0.030 0.124 0.165
MSR 0.670 0.260 0.184 0.156 0.026 0.569 0.508 0.146 0.190 0.287
Alibaba 0.137 0.106 0.070 0.075 0.029 0.145 0.132 -0.004 0.072 -0.004
CloudPhysics 0.313 0.196 0.111 0.131 0.033 0.303 0.290 0.073 0.118 0.078
