 FlexCache ARC Cacheus Clock FIFO FIFO-Merge GDSF Hyperbolic LFU LHD LIRS LRU LeCaR QDLP S3-FIFO S4LRU TwoQ WTinyLFU
wiki_2019t.oracleGeneral.zst_207646002 1.007 1.009 1.005 1.003 0.974 0.998 1.005 1.002 1.007 0.994 1.006 1.000 1.002 1.009 1.005 1.005 0.990 1.004
wiki_2019u.oracleGeneral.zst_2655612611 1.004 1.004 1.004 1.001 0.985 0.998 1.003 1.002 1.004 0.999 1.004 1.000 1.002 1.004 1.003 1.003 0.998 1.004
